rebalance_date,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-04-01,2017-04-03,2017-07-03,0.0,0.02913438100209298,-0.13314447592067988,0,1.0,1.029134381002093,0.8668555240793201
2017-07-01,2017-07-03,2017-10-02,0.05240174672489083,0.1264313156222107,0.22656113119842425,1,1.0524017467248907,1.1592491947442372,1.0632512922003339
2017-10-01,2017-10-02,2018-01-04,0.08707538781151754,0.10985090812031374,0.11453804661633805,11,1.1440400369544792,1.286593771524634,1.1850340182712575
2018-01-01,2018-01-04,2018-04-02,0.0855411129341955,-0.017416554085750567,0.0722518939054865,151,1.2419024949568434,1.2641857415164854,1.2706549704337848
2018-04-01,2018-04-02,2018-07-02,-0.060296904024481714,-0.028125448623807874,-0.016167175205588347,153,1.1670196194106661,1.228629950392513,1.2501120689009302
2018-07-01,2018-07-02,2018-10-01,0.07389843842945515,0.044921061326343666,0.05011497362418723,159,1.2532605469016516,1.2838213117414778,1.3127614022611784
2018-10-01,2018-10-01,2019-01-04,-0.21103842361345237,-0.2132661800249142,-0.20404210187252755,193,0.9887744167065938,1.0100256447517983,1.044902806486681
2019-01-01,2019-01-04,2019-04-01,0.15786210575060458,0.13058780353641472,0.167541909443705,168,1.1448644282402225,1.1419226752153868,1.2199678178685456
2019-04-01,2019-04-01,2019-07-01,0.0008553586396428715,-0.007634649796084804,0.011940201575054814,183,1.1458436979201376,1.133204495495909,1.2345344795289757
2019-07-01,2019-07-01,2019-10-01,0.002445305040086734,0.0062289412945866224,0.020755535368606488,183,1.1486456352898133,1.1402631597731148,1.2601579035826034
2019-10-01,2019-10-01,2020-01-06,0.1880322262327387,0.10023232367493785,0.14568228655464527,195,1.3646280312458754,1.254554385878101,1.4437405883964252
2020-01-01,2020-01-06,2020-04-01,-0.2769623553005878,-0.2635417816734431,-0.28427699492298936,179,0.9866774376028137,0.9239268878175539,1.033318352478741
2020-04-01,2020-04-01,2020-07-01,0.3677157024589903,0.2781697775406175,0.38811811417294545,175,1.3494942246713688,1.1809354246655581,1.434367922783085
2020-07-01,2020-07-01,2020-10-01,0.0,0.0,0.0,0,1.3494942246713688,1.1809354246655581,1.434367922783085
2020-10-01,2020-10-01,2021-01-04,0.0,0.0,0.0,0,1.3494942246713688,1.1809354246655581,1.434367922783085
2021-01-01,2021-01-04,2021-04-01,0.0974068639694503,0.09956826277303157,0.10263859059293944,138,1.4809442250414917,1.29851911334664,1.581589424769263
2021-04-01,2021-04-01,2021-07-01,0.00853046826943918,-0.010067312962681856,0.0047124075489734405,148,1.4935773727620174,1.2854465150445553,1.5890425187139223
2021-07-01,2021-07-01,2021-10-01,0.009515984319016112,0.009550449604888468,0.018330240985023026,160,1.5077902316204579,1.2977231072062678,1.6181700510173964
2021-10-01,2021-10-01,2022-01-04,-0.025480848753790055,-0.03771916573583904,-0.03701152590941887,163,1.4693704567760948,1.2487740742463267,1.5582791082483203
2022-01-01,2022-01-04,2022-04-01,-0.007149534632955602,-0.035634310427372466,-0.009896362907137952,171,1.4588651418067322,1.2042748712309785,1.5428578126824837
2022-04-01,2022-04-01,2022-07-01,0.004481543843985391,-0.028899930941798446,0.011649445361581422,167,1.465403109902201,1.16947141061746,1.5608312504720172
2022-07-01,2022-07-01,2022-10-03,0.022300809197199647,0.015235575128109621,0.0043053928217545055,157,1.4980827850531129,1.1872889801540987,1.5675512421337694
2022-10-01,2022-10-03,2023-01-04,0.016864223673684377,0.009005137023512404,0.010994128775966085,176,1.5233467882219447,1.1979806801068926,1.5847851023527135
2023-01-01,2023-01-04,2023-04-03,0.12301460583361855,0.09619293319872256,0.12271504396640963,162,1.710740692922976,1.3132179556417751,1.7792620758652375
2023-04-01,2023-04-03,2023-07-03,0.11020344537207206,0.08061246439811331,0.10904140127954064,175,1.899270211421294,1.4190796913379107,1.9732753058611274
2023-07-01,2023-07-03,2023-10-02,0.04110350551765356,0.009125085325335302,0.04012098725118745,171,1.9773368750359643,1.4320289146048195,2.0524450592506644
2023-10-01,2023-10-02,2024-01-04,-0.0017445468883433674,0.010312809322258995,-0.01937176866350746,188,1.9738873181434138,1.4467971557451007,2.0126855683683016
2024-01-01,2024-01-04,2024-04-01,0.15621165800554715,0.08094931886268336,0.10898533865560159,177,2.2822315288267196,1.5639144000351342,2.232038786644163
2024-04-01,2024-04-01,2024-07-01,0.010746115188564699,0.013972483430835101,0.029368097314029524,163,2.3067566517224654,1.5857661680768693,2.297589518939017
2024-07-01,2024-07-01,2024-10-01,-0.043194624041815614,-0.029766568591617717,-0.051868783815370065,162,2.207117165395356,1.5385633506645424,2.178416344884709
2024-10-01,2024-10-01,2025-01-06,0.017639519389916522,0.00855003438537637,0.03183015306548854,181,2.246049651430165,1.5517181202168042,2.2477556705827513
2025-01-01,2025-01-06,2025-04-01,0.05694051370500293,0.017474395706752063,0.061783033726311484,176,2.3739408723895417,1.5788334566748101,2.3866288349868734
2025-04-01,2025-04-01,2025-07-01,0.09564748222556531,0.07943883519456234,0.0971667199256931,182,2.601002339785963,1.7042541474392614,2.618529730562626
