rebalance_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-04-01,0.0,-0.10200411099691675,-0.2278177458033573,0,1.0,0.8979958890030832,0.7721822541966427
2017-07-01,0.0858585858585858,0.1341237372029664,0.19258378602794263,1,1.0858585858585859,1.018438453629077,0.9208920362134233
2017-10-01,0.20580465660964653,0.10370971811530313,0.1296168879322245,14,1.3093333392478486,1.1240604185727336,1.0402551960689768
2018-01-01,0.15617198406834532,0.03717231460927689,0.10335051626809898,215,1.513814524645017,1.1658443460917547,1.1477661076332781
2018-04-01,0.09258341915916625,0.012081635014053837,0.047425257970517484,229,1.6539686493094607,1.1799296519644336,1.202199211377603
2018-07-01,-0.026464179067614606,-0.045183848584572237,-0.024983926888322378,244,1.6101977268019145,1.1266158892296256,1.1721635541753461
2018-10-01,0.011925851159454005,-0.05504691887484923,-0.03187185214308379,285,1.6294007052290453,1.0645991557720862,1.1348045306891579
2019-01-01,-0.02430086754344385,-0.06164471572653137,-0.04995947719381257,251,1.5898048545160803,0.9989722434518106,1.0781102896187578
2019-04-01,0.032188028104620285,-0.0016837323255619314,0.019097478759532823,268,1.6409775378541056,0.9972902415931716,1.0986994779751857
2019-07-01,0.014609146257933001,-0.018425614167910494,0.008620619177115471,284,1.664950818710599,0.9789145563881536,1.1081709477649053
2019-10-01,0.10480361879892436,0.07593701386858376,0.06395961827352414,302,1.8394436896337016,1.0532504046327593,1.179049138565758
2020-01-01,0.0989282297505956,0.0076137676625195536,0.05213987228255131,303,2.0214165975750675,1.061269608504088,1.2405246100654286
2020-04-01,-0.056436976926707266,-0.11196089135762885,-0.08029274889516373,288,1.9073339556984603,0.9424489171652085,1.1409194790511743
2020-07-01,0.17636742456453752,0.0741377892870701,0.10822493947774543,261,2.2437255332494894,1.0123199963998302,1.2643954206204686
2020-10-01,0.1988331497725583,0.07711088778487911,0.10834325550231372,248,2.6898525482505984,1.0903808900446068,1.4013841367327073
2021-01-01,0.11482885117065848,0.0745829478786692,0.08515237725985568,225,2.998725226184683,1.1717047111347008,1.520715327429748
2021-04-01,0.04718753412376974,0.016947642719648912,0.03565714636287475,247,3.1402276751230818,1.1915623439519412,1.5749396964361775
2021-07-01,0.02724310033351732,0.015445033537894278,0.019269600133531004,279,3.225777212746548,1.2099660643167707,1.6052881546209274
2021-10-01,0.02983797984142724,0.012343767953458845,0.017966365393895043,283,3.3220278881934147,1.2249016046462566,1.6341293481693386
2022-01-01,-0.07227554410058232,-0.06516475594787619,-0.06836469673037919,289,3.081926515056927,1.1450811905193214,1.5224125908635295
2022-04-01,0.015022434904230447,-0.012772800122359302,0.007915200086250697,293,3.1282245555089916,1.130455297348945,1.5344627911340418
2022-07-01,0.07227529294355445,0.051408524973888266,0.05973498083167635,292,3.354317901651624,1.1885703367345726,1.6261238965493543
2022-10-01,0.027146241735290826,0.006058688855047159,0.0006757826588033345,312,3.4453750262668725,1.195771514587186,1.627222802879708
2023-01-01,0.0523634763905302,0.030991605889632005,0.03761449558302612,279,3.6257868401113207,1.2328303941013203,1.6884299678112262
2023-04-01,0.08593786199275066,0.05774714089038479,0.07418282110977054,290,3.937379209191939,1.3040228245634378,1.8136824660697421
2023-07-01,0.0960367866371368,0.054917133199680654,0.062485374785597826,281,4.315512456214603,1.375636019715412,1.9270110947041772
2023-10-01,0.03431683127921968,-0.0016446784566096343,-0.00809902788874094,304,4.463607169057891,1.37337354078965,1.9114041781062547
2024-01-01,0.08745675567837556,0.06545875029912938,0.05007062756151636,294,4.853979770686433,1.4632728564636306,2.0071093848277393
2024-04-01,0.046786651419510876,0.029685705880027,0.034853390106983864,274,5.081081230214895,1.506711144102837,2.077063951204529
2024-07-01,-0.025936522992001297,-0.03824070550937004,-0.0324462025205658,273,4.9492956500632,1.4490934469535142,2.00967111359558
2024-10-01,0.051044869418770025,0.026566988275080347,0.013776947715893696,312,5.201931800235562,1.487591495568224,2.0373582474537284
2025-01-01,0.058532600536660206,0.04074637137791645,0.055040987733323936,304,5.5064143963177,1.5482054511052767,2.1494964577602156
2025-04-01,0.0635513921666688,0.020777180884014205,0.04097999583356963,309,5.856354697050277,1.5803727958085079,2.237582813643502
2025-07-01,0.14326675233824995,0.12021667480907083,0.14189797235128007,316,6.695375615037526,1.7703599582793215,2.555091277867587
