allocation,weight_base,weight_leverage,cagr,mdd,volatility,sharpe,mdd_status
Base20_Lev80,0.2,0.8,0.3027164204826964,-0.3676561424468493,0.24629933202281237,1.2290590396512269,[NG]
Base30_Lev70,0.3,0.7,0.29705717689812805,-0.3406188567782436,0.2303612558554801,1.2895275110172626,[NG]
Base40_Lev60,0.4,0.6,0.2908432544519517,-0.31328096304003616,0.21514385338884168,1.351854816536609,[NG]
Base50_Lev50,0.5,0.5,0.2840934439631755,-0.28564246123222675,0.2008110288553392,1.4147302844000242,[OK]
Base60_Lev40,0.6,0.4,0.2768256318230651,-0.25770335135481554,0.18756567696712362,1.4758864004291514,[OK]
Base70_Lev30,0.7,0.3,0.26905691386996833,-0.23734453211007153,0.17565397590030768,1.53174394425704,[OK]
Base80_Lev20,0.8,0.2,0.2608036915631895,-0.22743497371743907,0.16536437805734167,1.577145541422188,[OK]
