allocation,weight_base,weight_target15,cagr,mdd,volatility,sharpe,mdd_status
Base20_T15_80,0.2,0.8,0.19229894552396165,-0.21684229085443682,0.1445079528961877,1.3307153113026677,[OK]
Base30_T15_70,0.3,0.7,0.19868991107946088,-0.20757153372476725,0.14249782912691838,1.3943364070654996,[OK]
Base40_T15_60,0.4,0.6,0.20497440312921134,-0.1983102264998147,0.14128029757972943,1.4508350183332328,[OK]
Base50_T15_50,0.5,0.5,0.21115110619094657,-0.18905836917957863,0.140875909882578,1.4988446666782411,[OK]
Base60_T15_40,0.6,0.4,0.21721871069442011,-0.1877198790821555,0.1412916480509956,1.537378278835141,[OK]
Base70_T15_30,0.7,0.3,0.22317591347231835,-0.1927469840178583,0.14252033523460236,1.565923298629273,[OK]
Base80_T15_20,0.8,0.2,0.22902141823681355,-0.19778939677904114,0.14454124125831813,1.584471091039795,[OK]
