Year,RebalanceDate,EntryDate,ExitDate,N_Stocks,N_TOPIX,StartCapital,Investment,GrossReturn,NetReturn,PnL,Tax,EndCapital
2021,2021-10-01,2021-10-04,2022-10-03,20,2000,10000000.0,8102600.0,-0.03125553987918842,-0.0469849184212475,-380700.0,0.0,9619300.0
2022,2022-10-01,2022-10-03,2023-10-02,19,2000,9619300.0,7741900.0,0.275719180426997,0.2017882464252961,1960500.0,398275.575,11181524.425
2023,2023-10-01,2023-10-02,2024-10-02,20,2000,11181524.425,9531900.0,0.08490649738765232,0.07299797731826814,873200.0,177390.58,11877333.845
2024,2024-10-01,2024-10-02,2025-10-02,20,2000,11877333.845,10077480.0,0.18177203364799832,0.13404265267705814,1695190.0,344377.8485,13228145.9965
