Date,PortfolioValue,DailyReturn,CumulativeValue,RunningMax,Drawdown
2021-10-04,9202200.0,,9202200.0,9202200.0,0.0
2021-10-05,8711900.0,-0.05328073721501381,8711900.0,9202200.0,-0.05328073721501381
2021-10-06,9206500.0,0.05677291979935495,9206500.0,9206500.0,0.0
2021-10-07,8963400.0,-0.026405257155270756,8963400.0,9206500.0,-0.026405257155270756
2021-10-08,8819600.0,-0.016043019389963664,8819600.0,9206500.0,-0.04202465649269538
2021-10-11,8869600.0,0.0056691913465463095,8869600.0,9206500.0,-0.03659371096507902
2021-10-12,8605400.0,-0.029787138089654497,8605400.0,9206500.0,-0.06529082713300383
2021-10-13,8566400.0,-0.004532038022636908,8566400.0,9206500.0,-0.06952696464454466
2021-10-14,8881100.0,0.036736552110571585,8881100.0,9206500.0,-0.035344593493727205
2021-10-15,8744100.0,-0.015426017047437846,8744100.0,9206500.0,-0.05022538423939604
2021-10-18,8778900.0,0.003979826397227937,8778900.0,9206500.0,-0.04644544615217505
2021-10-19,8686200.0,-0.010559409493216654,8686200.0,9206500.0,-0.056514419160375806
2021-10-20,9065500.0,0.043666965992033235,9065500.0,9206500.0,-0.015315266387878168
2021-10-21,9055400.0,-0.0011141139484860396,9055400.0,9206500.0,-0.016412317384456587
2021-10-22,9053500.0,-0.00020981955518251105,9053500.0,9206500.0,-0.01661869331450605
2021-10-25,9008400.0,-0.004981498867841161,9008400.0,9206500.0,-0.021517406180415977
2021-10-26,8914500.0,-0.010423604635673378,8914500.0,9206500.0,-0.0317167218812795
2021-10-27,8977300.0,0.007044702451062923,8977300.0,9206500.0,-0.02489545429859341
2021-10-28,8328500.0,-0.07227117284706985,8328500.0,9206500.0,-0.09536740346494321
2021-10-29,8345300.0,0.002017169958576037,8345300.0,9206500.0,-0.09354260576766416
2021-11-01,8609800.0,0.03169448671707431,8609800.0,9206500.0,-0.06481290392657357
2021-11-02,8921600.0,0.03621454621477849,8921600.0,9206500.0,-0.03094552761635805
2021-11-04,8601700.0,-0.03585679698708755,8601700.0,9206500.0,-0.0656927171020475
2021-11-05,8674000.0,0.008405315228385168,8674000.0,9206500.0,-0.057839569869114205
2021-11-08,8867800.0,0.022342633156559932,8867800.0,9206500.0,-0.03678922500407322
2021-11-09,8524300.0,-0.03873565033040893,8524300.0,9206500.0,-0.07409982077879762
2021-11-10,8311700.0,-0.024940464319650912,8311700.0,9206500.0,-0.09719220116222238
2021-11-11,8629900.0,0.038283383663991755,8629900.0,9206500.0,-0.06262966382447188
2021-11-12,8746600.0,0.013522752291451834,8746600.0,9206500.0,-0.04995383696301525
2021-11-15,8774900.0,0.003235542953833548,8774900.0,9206500.0,-0.04687992179438438
2021-11-16,8633300.0,-0.016136936033459115,8633300.0,9206500.0,-0.06226035952859388
2021-11-17,8727900.0,0.01095757126475383,8727900.0,9206500.0,-0.05198501059034377
2021-11-18,8695100.0,-0.003758063222539243,8695100.0,9206500.0,-0.05554771085646015
2021-11-19,8717000.0,0.0025186599349058536,8717000.0,9206500.0,-0.053168956715364146
2021-11-22,8783600.0,0.0076402432029367695,8783600.0,9206500.0,-0.045934937272579135
2021-11-24,8916500.0,0.015130470422150433,8916500.0,9206500.0,-0.03149948406017489
2021-11-25,9122100.0,0.023058374922895863,9122100.0,9206500.0,-0.009167436050616429
2021-11-26,9041200.0,-0.008868571929709135,9041200.0,9206500.0,-0.017954705914299707
2021-11-29,8794800.0,-0.027253019510684373,8794800.0,9206500.0,-0.0447184054743931
2021-11-30,8701200.0,-0.010642652476463343,8701200.0,9206500.0,-0.054885135502090954
2021-12-01,8791800.0,0.010412356916287502,8791800.0,9206500.0,-0.04504426220605007
2021-12-02,8640300.0,-0.017231966150276445,8640300.0,9206500.0,-0.06150002715472769
2021-12-03,8711600.0,0.00825202828605498,8711600.0,9206500.0,-0.05375549883234676
2021-12-06,8637700.0,-0.00848294228385138,8637700.0,9206500.0,-0.061782436322163736
2021-12-07,9105300.0,0.05413478124963822,9105300.0,9206500.0,-0.010992233747895486
2021-12-08,8473700.0,-0.06936619331598082,8473700.0,9206500.0,-0.07959593765274531
2021-12-09,8515200.0,0.004897506402161911,8515200.0,9206500.0,-0.07508825286482379
2021-12-10,8905700.0,0.045859169485156004,8905700.0,9206500.0,-0.03267256829414
2021-12-13,8897000.0,-0.0009769024332730858,8897000.0,9206500.0,-0.03361755281594525
2021-12-14,8433300.0,-0.05211869169382943,8433300.0,9206500.0,-0.08398414163905932
2021-12-15,8889100.0,0.05404764445709276,8889100.0,9206500.0,-0.034475642209308655
2021-12-16,8602300.0,-0.03226423372444909,8602300.0,9206500.0,-0.06562754575571605
2021-12-17,8989300.0,0.044987968334050166,8989300.0,9206500.0,-0.02359202737196542
2021-12-20,8326900.0,-0.07368760637646976,8326900.0,9206500.0,-0.09554119372182701
2021-12-21,8761200.0,0.05215626463629919,8761200.0,9206500.0,-0.04836800086895132
2021-12-22,8362200.0,-0.04554170661553214,8362200.0,9206500.0,-0.09170694617932984
2021-12-23,8759500.0,0.04751142043959722,8759500.0,9206500.0,-0.04855265301689027
2021-12-24,8800900.0,0.004726297163080151,8800900.0,9206500.0,-0.0440558301200239
2021-12-27,8696500.0,-0.011862423161267621,8696500.0,9206500.0,-0.05539564438168687
2021-12-28,8754500.0,0.0066693497384004985,8754500.0,9206500.0,-0.04909574756965185
2021-12-29,8558000.0,-0.022445599406019756,8558000.0,9206500.0,-0.07043936349318414
2021-12-30,8553800.0,-0.0004907688712315617,8553800.0,9206500.0,-0.07089556291750398
2022-01-04,9147100.0,0.06936098576071448,9147100.0,9206500.0,-0.006451963286808193
2022-01-05,8814600.0,-0.036350318680237415,8814600.0,9206500.0,-0.04256775104545707
2022-01-06,8656200.0,-0.017970185828057983,8656200.0,9206500.0,-0.05977298647694562
2022-01-07,8502200.0,-0.017790716480672764,8502200.0,9206500.0,-0.07650029870200403
2022-01-11,8825500.0,0.03802545223589182,8825500.0,9206500.0,-0.041383804920436695
2022-01-12,8916700.0,0.010333692142088235,8916700.0,9206500.0,-0.03147776027806437
2022-01-13,8744700.0,-0.01928964751533635,8744700.0,9206500.0,-0.050160212893064715
2022-01-14,9042000.0,0.03399773577138143,9042000.0,9206500.0,-0.017867810785857863
2022-01-17,9136800.0,0.010484406104844135,9136800.0,9206500.0,-0.00757073806549724
2022-01-18,8886700.0,-0.02737282199457136,8886700.0,9206500.0,-0.034736327594634187
2022-01-19,8828700.0,-0.006526607177017363,8828700.0,9206500.0,-0.04103622440666921
2022-01-20,8666000.0,-0.018428534212284964,8666000.0,9206500.0,-0.05870852115353287
2022-01-21,8488800.0,-0.02044772674821138,8488800.0,9206500.0,-0.0779557921034052
2022-01-24,8536900.0,0.005666289699368665,8536900.0,9206500.0,-0.0727312225058383
2022-01-25,8270400.0,-0.03121742084363177,8270400.0,9206500.0,-0.10167816216803349
2022-01-26,8436600.0,0.020095763203714423,8436600.0,9206500.0,-0.08362569923423668
2022-01-27,8286700.0,-0.01776782116018305,8286700.0,9206500.0,-0.0999076739260305
