Code,PBR,ROE,MarketCap,Selected
1884,0.17380218279451806,0.6515274114395603,16539189516.909134,True
1793,0.184053275764009,0.42731781762685994,12060090894.436691,True
8416,0.19473017951202515,0.2529971903327104,15316891729.877361,True
8550,0.21518971772704548,0.3610733434237192,33553241546.871838,True
3529,0.22078441563493484,-0.46980923853066375,7002177741.8619585,True
7898,0.22243685722516332,-0.4634816035145524,10126437925.17556,True
8343,0.22357399095776329,0.3750588974399246,35587390010.70197,True
8558,0.22805806309741322,0.3524527662458697,26917693187.387684,True
7916,0.22902141487779507,-0.011111111111111112,4122385467.800311,True
8345,0.23574369025352976,0.5934286352700308,45366751496.07952,True
7957,0.23939836239637094,-2.255569018547861,2568505030.150664,True
5491,0.24368346800051302,-0.4851004851004851,5977799153.520585,True
5189,0.24683090627278267,-0.15525941260188897,1907756074.5823374,True
7822,0.2488114808726174,-2.3268525025376747,9559585906.606833,True
4119,0.2518904964701349,0.1423856061096369,3891960060.9600544,True
3600,0.2538246471594817,0.5427974947807933,2431640119.7878346,True
6416,0.25753271223565816,-0.4890544946436889,1105845466.3399162,True
5386,0.2580580545447296,0.21391289466929064,3015924483.464255,True
8344,0.2640716755482487,0.14802882208241722,36391981678.9797,True
2055,0.2758906261432362,0.6047466910086718,4835810895.038644,True
7923,0.2765783764043737,0.042476372517786985,2604538570.599987,False
8362,0.27669103637899994,0.6260023798437581,37437127295.18783,False
8562,0.27691112102728194,0.6125199068969742,6781276442.837107,False
9854,0.2833019136643017,-1.1197743861977438,3415487871.1368213,False
5660,0.29165383745364865,0.5615650172612198,6336179618.680517,False
4234,0.2933932389639213,0.4843787842092516,6057103418.410155,False
9972,0.2968968077006547,-1.0003253090435915,3650643147.4872503,False
9761,0.29714676172965493,0.33537568526281847,4607260540.6182995,False
7490,0.2974078397769883,0.39747939893359185,6135523734.599269,False
7266,0.2984445127010833,-1.8643232588699081,14535441546.593561,False
6986,0.29877857882648695,-1.3910746080064327,26010169179.739822,False
7212,0.29941858861178394,-0.4873831845348993,20088891365.73042,False
9895,0.3003707387641924,-0.8212749315604223,2304143937.06012,False
9193,0.300909350224393,-0.09748851028271668,6481888313.18365,False
6513,0.3046290135560548,-0.6294930532275488,8178375126.939404,False
1841,0.30505359596290177,0.21486123545210387,3407448666.905613,False
5658,0.3063343202159516,0.5783557079112166,15995859198.716343,False
9067,0.3067008771406408,0.40378497430459254,7519692105.734232,False
7426,0.3067460213695186,-0.5602988260405549,1149684088.0929558,False
4615,0.30818011854777555,-1.1007384701128604,4423617421.63477,False
6286,0.30865818214298074,-0.014003640946646129,4408256157.366051,False
5915,0.3087748072309332,-1.0435242057988243,9350318712.56712,False
6408,0.3115735593280218,0.4192048208554398,4756793530.260908,False
8152,0.31541953881885154,0.5802452855070552,4783652725.726703,False
7422,0.316676364888439,-0.8048727430933217,1455761249.392154,False
6743,0.31858022366833255,-0.34247809942679985,8837096824.335876,False
9776,0.32067008334889724,0.04634779384501298,3459388859.1679034,False
8123,0.3214041255456586,-2.590756436910283,2009739997.0370033,False
7284,0.3214134834272579,-1.9525162709689248,3506299690.7079563,False
6715,0.32155967304363153,-0.6791778373547811,5397379112.037355,False
