Year,RebalanceDate,EntryDate,ExitDate,N_Stocks,StartCapital,Investment,GrossReturn,NetReturn,PnL,Tax,EndCapital
2017,2017-10-01,2017-10-02,2018-10-02,19,10000000.0,9037800.0,0.5837642227616432,0.4875105340901547,5529300.0,1123277.295,13443822.705
2018,2018-10-01,2018-10-02,2019-10-02,20,13443822.705,12044100.0,-0.15965161356463736,-0.1566327081309521,-1886500.0,0.0,10157600.0
2019,2019-10-01,2019-10-02,2020-10-02,20,10157600.0,9275700.0,-0.1033527708658489,-0.09989542568215876,-926600.0,0.0,8349100.0
2020,2020-10-01,2020-10-02,2021-10-04,20,8349100.0,7547500.0,0.5475032768977413,0.44402941967538917,4205700.0,854387.955,10898812.045
2021,2021-10-01,2021-10-04,2022-10-03,20,10898812.045,9972900.0,0.32500738275060703,0.2772982708139057,3470500.0,705032.075,12738367.925
2022,2022-10-01,2022-10-03,2023-10-02,20,12738367.925,11752000.0,0.5018139137341555,0.40886026335942816,6029900.0,1224974.185,16556925.815
2023,2023-10-01,2023-10-02,2024-10-02,20,16556925.815,15689400.0,0.0015602852361225438,0.00023362971177992787,4600.0,934.49,15693065.51
2024,2024-10-01,2024-10-02,2025-10-02,20,15693065.51,14708030.0,0.14925688714723603,0.114008696541957,2104340.0,427496.671,16384873.329
