Year,RebalanceDate,EntryDate,ExitDate,N_Stocks,StartCapital,Investment,GrossReturn,NetReturn,PnL,Tax,EndCapital
2017,2017-10-01,2017-10-02,2018-10-02,20,10000000.0,9561810.0,0.12715368721812886,0.44863496450985746,5383400.0,1093637.71,13851572.29
2018,2018-10-01,2018-10-02,2019-10-02,20,13851572.29,13282460.0,-0.09116678403033336,-0.5503122162611443,-7309500.0,0.0,5972960.0
2019,2019-10-01,2019-10-02,2020-10-02,20,5972960.0,5314850.0,0.0436595977178994,0.12569745204474256,838380.0,170316.897,5982913.103
2020,2020-10-01,2020-10-02,2021-10-04,19,5982913.103,5196530.0,0.36969003157165636,1.1351270881722997,7402550.0,1503828.0325,11095251.9675
2021,2021-10-01,2021-10-04,2022-10-03,20,11095251.9675,10063750.0,-0.03531036836202291,-0.19015774437958016,-1913700.0,0.0,8150050.0
2022,2022-10-01,2022-10-03,2023-10-02,20,8150050.0,7408330.0,0.4666382879290759,1.116819211144752,10383090.0,2109324.7335,15682095.2665
2023,2023-10-01,2023-10-02,2024-10-02,20,15682095.2665,14738560.0,-0.15449303248929475,-0.790613194233358,-11652500.0,0.0,3086060.0
2024,2024-10-01,2024-10-02,2025-10-02,17,3086060.0,2026740.0,-0.03869233793354352,-0.3460730039373575,-701400.0,0.0,1325340.0
