Code,Close,Profit,Equity,SharesOut,MarketCap,PBR,ROE,PBR_Rank,ROE_Rank,PBR_Quartile,ROE_Quartile,EntryPrice,ExitPrice,Return
3529,437.0,-149000000.0,31715000000.0,16023290.02714407,7002177741.8619585,0.22078441563493484,-0.46980923853066375,15.0,3612.0,1,4,440.0,786.0,78.63636363636364
4119,2310.0,22000000.0,15451000000.0,1684831.1952208027,3891960060.9600544,0.2518904964701349,0.1423856061096369,34.0,3407.0,1,4,2320.0,3270.0,40.948275862068975
2055,267.0,106000000.0,17528000000.0,18111651.292279564,4835810895.038644,0.2758906261432362,0.6047466910086718,49.0,3196.0,1,4,267.0,324.0,21.34831460674158
7916,1332.0,-2000000.0,18000000000.0,3094883.984835068,4122385467.800311,0.22902141487779507,-0.011111111111111112,19.0,3477.0,1,4,1347.0,1511.0,12.175204157386776
6416,722.0,-21000000.0,4294000000.0,1531641.9201383882,1105845466.3399162,0.25753271223565816,-0.4890544946436889,39.0,3618.0,1,4,728.0,812.0,11.538461538461542
8343,2018.0,597000000.0,159175000000.0,17634980.183697708,35587390010.70197,0.22357399095776329,0.3750588974399246,17.0,3316.0,1,4,2041.0,2194.0,7.496325330720244
5189,1972.0,-12000000.0,7729000000.0,967421.9445143698,1907756074.5823374,0.24683090627278267,-0.15525941260188897,30.0,3528.0,1,4,1972.0,2054.0,4.158215010141997
7822,224.0,-894000000.0,38421000000.0,42676722.797351934,9559585906.606833,0.2488114808726174,-2.3268525025376747,31.0,3840.0,1,4,224.0,223.0,-0.44642857142856984
8558,630.0,416000000.0,118030000000.0,42726497.122837596,26917693187.387684,0.22805806309741322,0.3524527662458697,18.0,3324.0,1,4,635.0,595.0,-6.299212598425196
3600,1631.0,52000000.0,9580000000.0,1490889.0985823635,2431640119.7878346,0.2538246471594817,0.5427974947807933,35.0,3234.0,1,4,1633.0,1514.0,-7.2872014696876874
5386,394.0,25000000.0,11687000000.0,7654630.668691002,3015924483.464255,0.2580580545447296,0.21391289466929064,40.0,3381.0,1,4,394.0,359.0,-8.883248730964466
7957,1678.0,-242000000.0,10729000000.0,1530694.296871671,2568505030.150664,0.23939836239637094,-2.255569018547861,25.0,3836.0,1,4,1678.0,1524.0,-9.17759237187128
1884,1879.0,620000000.0,95161000000.0,8802123.212830832,16539189516.909134,0.17380218279451806,0.6515274114395603,5.0,3169.0,1,4,1900.0,1710.0,-9.999999999999998
8344,1136.0,204000000.0,137811000000.0,32035195.13994692,36391981678.9797,0.2640716755482487,0.14802882208241722,41.0,3405.0,1,4,1161.0,1008.0,-13.178294573643413
8345,2612.0,1142000000.0,192441000000.0,17368587.862205025,45366751496.07952,0.23574369025352976,0.5934286352700308,23.0,3200.0,1,4,2650.0,2275.0,-14.150943396226412
1793,2531.0,280000000.0,65525000000.0,4764950.965798772,12060090894.436691,0.184053275764009,0.42731781762685994,6.0,3277.0,1,4,2519.0,2101.0,-16.5938864628821
8550,321.0,563000000.0,155924000000.0,104527232.2332456,33553241546.871838,0.21518971772704548,0.3610733434237192,12.0,3323.0,1,4,332.0,266.0,-19.87951807228916
8416,1020.0,199000000.0,78657000000.0,15016560.519487608,15316891729.877361,0.19473017951202515,0.2529971903327104,9.0,3363.0,1,4,1016.0,807.0,-20.57086614173228
5491,893.0,-119000000.0,24531000000.0,6694064.001702783,5977799153.520585,0.24368346800051302,-0.4851004851004851,27.0,3616.0,1,4,895.0,688.0,-23.128491620111735
7898,1059.0,-211000000.0,45525000000.0,9562264.329721965,10126437925.17556,0.22243685722516332,-0.4634816035145524,16.0,3609.0,1,4,1060.0,810.0,-23.584905660377352
