date,portfolio,total_value,cumulative_return,drawdown
2017-01-31,ベースライン（フィルタなし）,10000000.0,,0.0
2017-02-28,ベースライン（フィルタなし）,9926260.0,-0.007373999999999992,-0.007374
2017-03-31,ベースライン（フィルタなし）,9414770.0,-0.05852299999999999,-0.058523
2017-04-28,ベースライン（フィルタなし）,9309800.0,-0.06902000000000008,-0.06902
2017-05-31,ベースライン（フィルタなし）,9762490.0,-0.023751000000000078,-0.023751
2017-06-30,ベースライン（フィルタなし）,10267480.0,0.026747999999999994,0.0
2017-07-31,ベースライン（フィルタなし）,10343090.0,0.03430899999999992,0.0
2017-08-31,ベースライン（フィルタなし）,10654440.0,0.06544400000000006,0.0
2017-09-29,ベースライン（フィルタなし）,11045010.0,0.10450100000000018,0.0
2017-10-31,ベースライン（フィルタなし）,11979840.0,0.19798400000000016,0.0
2017-11-30,ベースライン（フィルタなし）,12053140.0,0.205314,0.0
2017-12-29,ベースライン（フィルタなし）,12444490.0,0.24444899999999992,0.0
2018-01-31,ベースライン（フィルタなし）,12030626.0145,0.20306260144999988,-0.033256805662586444
2018-02-28,ベースライン（フィルタなし）,11765876.0145,0.17658760144999985,-0.05453128135423793
2018-03-30,ベースライン（フィルタなし）,11412536.0145,0.14125360144999988,-0.08292457027166243
2018-04-27,ベースライン（フィルタなし）,11711386.0145,0.17113860145000004,-0.0589099260395565
2018-05-31,ベースライン（フィルタなし）,11742856.0145,0.17428560145000005,-0.05638109601116642
2018-06-29,ベースライン（フィルタなし）,11123576.0145,0.11235760145000007,-0.10614448527018788
2018-07-31,ベースライン（フィルタなし）,11578586.0145,0.15785860145000008,-0.06958131554607705
2018-08-31,ベースライン（フィルタなし）,11507066.0145,0.15070660145000003,-0.07532843736464896
2018-09-28,ベースライン（フィルタなし）,11293186.0145,0.12931860145000007,-0.09251516016325301
2018-10-31,ベースライン（フィルタなし）,10578826.0145,0.057882601450000015,-0.14991887859606945
2018-11-30,ベースライン（フィルタなし）,10529286.0145,0.05292860144999989,-0.15389975688035432
2018-12-28,ベースライン（フィルタなし）,9489126.0145,-0.05108739855000011,-0.23748373661757136
2019-01-31,ベースライン（フィルタなし）,9261656.0145,-0.07383439855000018,-0.2557625089899225
2019-02-28,ベースライン（フィルタなし）,9245886.0145,-0.07541139855000012,-0.25702973649382177
2019-03-29,ベースライン（フィルタなし）,8660356.0145,-0.1339643985500002,-0.3040810821094316
2019-04-26,ベースライン（フィルタなし）,8326116.0145,-0.1673883985500002,-0.33093955521680685
2019-05-31,ベースライン（フィルタなし）,7715376.0145,-0.22846239855000028,-0.3800166969879843
2019-06-28,ベースライン（フィルタなし）,7654646.0145,-0.23453539855000027,-0.3848967684091514
2019-07-31,ベースライン（フィルタなし）,7322886.0145,-0.26771139855000026,-0.4115559565317663
2019-08-30,ベースライン（フィルタなし）,6560896.0145,-0.3439103985500003,-0.47278707166786266
2019-09-30,ベースライン（フィルタなし）,6900126.0145,-0.30998739855000024,-0.445527617885506
2019-10-31,ベースライン（フィルタなし）,7089226.0145,-0.29107739855000025,-0.4303321377975313
2019-11-29,ベースライン（フィルタなし）,7355216.0145,-0.2644783985500002,-0.40895801961349965
2019-12-30,ベースライン（フィルタなし）,7298226.0145,-0.2701773985500002,-0.4135375564205524
2020-01-31,ベースライン（フィルタなし）,6965288.806,-0.30347111940000016,-0.44029134130848274
2020-02-28,ベースライン（フィルタなし）,6322678.806,-0.36773211940000017,-0.49192945584752773
2020-03-31,ベースライン（フィルタなし）,5128528.806,-0.4871471194000002,-0.5878875867150843
