,All_AnnRet,All_Sharpe,12M_AnnRet,12M_Sharpe,6M_AnnRet,6M_Sharpe,3M_AnnRet,3M_Sharpe
MKT,0.1050217552993687,0.8508416872313639,0.2025931578941082,2.0829386915881787,0.2751554827477935,3.784464800771018,0.4100897933947073,8.035560153458212
SMB,-0.028530099341382197,-0.4465678550728152,0.003741773872400279,0.057172807947145646,0.0334711793936391,0.6644143860577303,-0.004174467589227113,-0.09986308302687336
HML,0.021783642405403474,0.14202119541532457,0.0031249600717923563,0.02283950435291021,-0.040158291773927136,-0.3558056490224855,0.17113054460757776,2.6894243148777557
RMW,0.09865539820958852,1.596193010103782,0.16277620799956885,2.6034528661324803,0.25370263904960527,5.169182343129025,0.24782930163514927,4.359260393491165
CMA,-0.07681379316092335,-1.0310666026522628,-0.08366318284877602,-1.738104335328852,-0.10516469806025892,-2.182432756685604,-0.008372491340168204,-0.2700753267348918
WML,-0.013808798690115323,-0.14419198159933233,0.09333555042467129,1.802622823329215,0.08677514934188824,1.322656903694412,0.0057344947097497725,0.09403698226013502
