window_id,window_start,window_end,MKT,SMB,HML,RMW,CMA,WML,n_stocks,n_inv_valid
1,2021-03,2022-02,-0.2545992453255117,-0.15870264399887593,0.1910016865629511,-0.05164965447881509,-0.047702669470447434,0.016007660461088258,16539,11968
2,2021-04,2022-03,-0.14818110865813294,-0.06092341904388911,0.0013300835531975808,-0.006326485804593468,-0.06462033103574355,-0.12691830236451868,19843,14530
3,2021-05,2022-04,-0.17267871818974354,-0.06792339087433918,0.042968842444044975,-0.034816288300626164,-0.017186103692692495,-0.0711432439222483,23082,17104
4,2021-06,2022-05,-0.1366445528278863,-0.05415902849379757,0.02594613030938464,-0.016717797098170395,-0.04971789465948742,-0.07302245967202545,26375,19822
5,2021-07,2022-06,-0.11986572218712543,-0.048597261545239245,0.014869838275411218,-0.029327992339022613,-0.03478779197345816,-0.04790042324032588,29536,22410
6,2021-08,2022-07,-0.07311959353093889,-0.07195563612927672,-0.027683227945314234,0.022548583348281533,-0.061531445254691175,-0.08554205236971621,32594,24824
7,2021-09,2022-08,-0.03921514916228777,-0.07116485827100939,-0.04295211284972332,0.05251430222757795,-0.07125601894721643,-0.039292920089530975,36125,27364
8,2021-10,2022-09,-0.08259594101535687,-0.07096676827044235,-0.03837199367928708,0.0121996257611455,-0.03490847405090737,-0.0731883428246392,39612,29855
9,2021-11,2022-10,-0.03335835511263311,-0.08592895716386628,-0.06611164642423975,0.0004249282849657851,-0.038776364169608654,-0.07462392797420146,39753,31459
10,2021-12,2022-11,0.05835408632659556,-0.07945403893500286,-0.06937629010972908,-0.08580704076470995,0.0034716791394346636,-0.05885988419467447,39878,31702
11,2022-01,2022-12,0.0021019127114807693,-0.06315554988148742,-0.07818250948662567,-0.04787937710237443,-0.007653780449001041,-0.07855105189843092,40000,31939
12,2022-02,2023-01,0.10152153069191878,-0.04869885860720402,-0.1605707168673247,-0.06973888771818547,0.008615069807358267,-0.09274830120845201,40079,32140
13,2022-03,2023-02,0.11534514611623406,-0.018702116596836404,-0.13157262895455396,-0.07829285301213874,0.011212062723754482,-0.058637317865393584,40159,32316
14,2022-04,2023-03,0.0906049832360355,-0.04402385909950156,-0.06814774790786873,-0.07988668521312531,0.004992073701688929,-0.002565016302049916,40295,32495
15,2022-05,2023-04,0.13232936707595683,-0.054273221715967004,-0.07687505436289147,-0.08536764337789646,0.0018306802324189464,-0.04152885009971502,40427,32635
16,2022-06,2023-05,0.1234734809317804,-0.0619039454232707,-0.10011383452371123,-0.08217988607449199,-0.009285152372084576,-0.057653312199666434,40602,32871
17,2022-07,2023-06,0.1830109370546901,-0.06516631382887539,-0.11386584791139348,-0.0276449857261776,-0.03519566359659543,-0.0356421231565176,40706,33044
18,2022-08,2023-07,0.16473105994663712,-0.0612626342506129,-0.05053564573492708,-0.04921339621063503,-0.028766342920152843,0.011132856755341702,40793,33201
