Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
9434,7672.0,227.4,3273.7906772207566,4490375000000.0,93.6774470480453,5195399000000.0,884144000000.0,47934429700.0,367752944658400.0,81.8980474143919,17.017826734770516
9434,3834.0,227.4,1586.0158311345647,4490375000000.0,93.6774470480453,5195399000000.0,884144000000.0,47934429700.0,183780603469800.0,40.92767385124851,17.017826734770516
285A,21065.0,3150.0,568.7301587301588,978647000000.0,1797.4366361007526,1334776000000.0,273574000000.0,544468150.0,11469221579750.0,11.71946736642528,20.495873464910964
3103,1336.0,217.0,515.668202764977,45723000000.0,791.7081390100485,95637000000.0,9030000000.0,57752343.0,77157130248.0,1.6874905462896135,9.441952382446123
6227,22300.0,4325.0,415.60693641618496,12584000000.0,2002.8648734680885,14615000000.0,2857000000.0,6283000.0,140110900000.0,11.13405117609663,19.548409168662335
4588,2702.0,656.0,311.89024390243907,3999000000.0,136.38,28000000.0,-2024000000.0,29291600.0,79229344478.66257,19.812289191963632,-7228.571428571429
5801,30690.0,8880.0,245.60810810810813,394146000000.0,5577.517977754711,948887000000.0,35137000000.0,70666917.0,2168767682730.0,5.502447526373476,3.702969900525563
3110,22140.0,6800.0,225.58823529411765,171358000000.0,4542.532287718701,87594000000.0,14933000000.0,37723012.0,835187485680.0,4.873933435731042,17.047971322236684
6834,27370.0,8900.0,207.52808988764048,31329000000.0,3356.5632495054992,20169000000.0,4844000000.0,9333654.0,255462109980.0,8.154173768074308,24.017055877832316
5076,4669.0,1523.5,206.46537577945517,608471000000.0,2213.869442293414,768634000000.0,60541000000.0,274845024.0,1283251417056.0,2.1089771197904255,7.8764405425729285
6961,15850.0,5290.0,199.6219281663516,60575000000.0,6716.64,32374000000.0,5200000000.0,9732897.0,142945542711.8321,2.3598108578098573,16.062272193735712
5706,31580.0,10675.0,195.83138173302106,371321000000.0,6467.268467727229,542207000000.0,71723000000.0,57415430.0,1813179279400.0,4.883050728076247,13.227973818117436
6993,126.0,45.0,179.99999999999997,6174000000.0,7.59,8092000000.0,-567000000.0,739896570.0,102493280632.41107,16.600790513833992,-7.006920415224914
6777,22820.0,8360.0,172.9665071770335,24807000000.0,2109.4,21248000000.0,6836000000.0,11961100.0,268368133118.4223,10.818242154167061,32.172439759036145
6941,8910.0,3305.0,169.59152798789714,44203000000.0,2393.89,39595000000.0,9312000000.0,21829775.0,164522484324.67657,3.7219755293685175,23.518120974870566
4004,11100.0,4173.0,165.9956865564342,727613000000.0,3861.43,1347125000000.0,46676000000.0,184901292.0,2091583765599.7908,2.8745827323038355,3.4648603507469606
5016,4050.0,1570.0,157.96178343949046,765114000000.0,824.0650579994723,614500000000.0,124805000000.0,928463102.0,3760275563100.0,4.914660512158973,20.3100081366965
