Date,N_Stocks,Return
2021-09-01,20,-0.53171518241035
2021-10-01,20,5.180610846121786
2021-11-01,20,-3.4514922768283385
2021-12-01,20,4.195259201030554
2022-01-01,20,-15.35690352287602
2022-02-01,20,-3.837201611751495
2022-03-01,20,3.2461551008243723
2022-04-01,20,-4.3133058845778764
2022-05-01,20,1.724928785240862
2022-06-01,20,-6.232284195975005
2022-07-01,20,5.777508796379319
2022-08-01,20,1.3216535504577342
2022-09-01,20,-3.287925527445353
2022-10-01,20,5.037433653664638
2022-11-01,20,0.6446273045676748
2022-12-01,20,-7.078215088332214
2023-01-01,20,5.11203370438462
2023-02-01,20,0.20737570287915286
2023-03-01,20,-10.272394259974668
2023-04-01,20,0.298274252626044
2023-05-01,20,5.389868801384366
2023-06-01,20,0.8818704130438115
2023-07-01,20,-1.7121774521678634
2023-08-01,20,-0.9240881645574
2023-09-01,20,-11.982179208642592
2023-10-01,20,2.4468500443745387
2023-11-01,20,6.455075636615401
2023-12-01,20,1.5117260390629643
2024-01-01,20,5.804399631630954
2024-02-01,20,8.310031835470442
2024-03-01,20,-8.382005399090989
2024-04-01,20,-1.9131998576558358
2024-05-01,20,4.506418068925415
2024-06-01,20,-3.4045002417128885
2024-07-01,20,-4.908180241094253
2024-08-01,20,5.143307172857559
2024-09-01,20,-12.899463724907836
2024-10-01,20,-0.23828932255476723
2024-11-01,20,-0.7830424896737875
2024-12-01,20,2.1195160874832464
2025-01-01,20,2.571290101994539
2025-02-01,20,-2.323623077276903
2025-03-01,20,-6.499195732042244
2025-04-01,20,3.592343473768436
2025-05-01,20,3.4375583183363694
2025-06-01,20,3.312840250600868
2025-07-01,20,2.0769773322304914
2025-08-01,20,-2.552087389498046
2025-09-01,20,-7.196135158046399
2025-10-01,20,15.575798378871058
2025-11-01,20,-6.56243207625696
2025-12-01,20,-2.6118399613475978
2026-01-01,20,7.2563258098189785
2026-02-01,20,15.54983957446166
