Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
4091,5772.0,5442.0,6.063947078280041,1211370000000.0,2797.0215540646313,997719000000.0,146111000000.0,433092837.0,2499811855164.0,2.0636237113053815,14.64450411388377
6361,4835.0,3155.0,53.24881141045958,521666000000.0,1114.52,958285000000.0,113802000000.0,462199185.0,2263086449772.099,4.3381904317553746,11.875590247160291
1803,3114.0,2105.0,47.93349168646082,920734000000.0,1284.7043409583616,897008000000.0,38920000000.0,716689413.0,2231770832082.0,2.4239040071095452,4.33886877263079
4062,7854.0,7267.0,8.077611118756023,549541000000.0,1950.6560661974381,298621000000.0,44527000000.0,281721114.0,2212637629356.0,4.02633766972073,14.910873649207524
5801,30690.0,8880.0,245.60810810810813,394146000000.0,5577.517977754711,948887000000.0,35137000000.0,70666917.0,2168767682730.0,5.502447526373476,3.702969900525563
6383,5727.0,4815.0,18.94080996884735,451560000000.0,1228.0,660724000000.0,100816000000.0,379830231.0,2105931693811.075,4.663680781758957,15.258413497920461
4004,11100.0,4173.0,165.9956865564342,727613000000.0,3861.43,1347125000000.0,46676000000.0,184901292.0,2091583765599.7908,2.8745827323038355,3.4648603507469606
7453,3757.0,3066.0,22.537508153946504,373359000000.0,691.1,228227000000.0,28383000000.0,561560000.0,2029676983070.4673,5.4362610331355805,12.436302453259255
7550,9559.0,9300.0,2.784946236559138,325413000000.0,1569.04,936691000000.0,60914000000.0,160733225.0,1982500680033.6511,6.092260235558048,6.503105079476583
8697,1854.5,1541.5,20.30489782679208,332462000000.0,322.2201250590365,139626000000.0,81308000000.0,1031785336.0,1913445905612.0,5.755382286131949,58.23270737541718
5706,31580.0,10675.0,195.83138173302106,371321000000.0,6467.268467727229,542207000000.0,71723000000.0,57415430.0,1813179279400.0,4.883050728076247,13.227973818117436
7735,18575.0,11215.0,65.62639322336156,443254000000.0,4647.243290641708,425352000000.0,77439000000.0,95379986.0,1771683239949.9998,3.996993236270851,18.205862438639056
6504,11390.0,9770.0,16.581371545547597,793476000000.0,5314.748774809534,851055000000.0,74027000000.0,149296991.0,1700492727490.0,2.1430928314025883,8.698262744475974
5334,7741.0,5574.0,38.876928597057756,747011000000.0,3749.1570794386002,526055000000.0,110907000000.0,199247720.0,1542376600520.0,2.064730774406267,21.08277651576356
1944,7526.0,5243.0,43.543772649246606,629931000000.0,3150.376751313726,499267000000.0,51957000000.0,199954180.0,1504855158680.0,2.388920625719325,10.406656157927522
6841,5589.0,4390.0,27.312072892938488,515414000000.0,1918.7154589877148,434315000000.0,60423000000.0,268624510.0,1501342386390.0,2.9128863135072,13.912252627701093
6525,5332.0,2745.5,94.20870515388818,212844000000.0,893.8683038232008,173058000000.0,32519000000.0,238115614.0,1269632453848.0,5.9650845400763,18.790810017450795
1942,6112.0,4039.0,51.32458529338946,415135000000.0,2022.204495610462,511581000000.0,58472000000.0,205288338.0,1254722321856.0,3.0224440768810146,11.429666074385093
4911,3012.0,2426.5,24.129404492066755,621270000000.0,1503.64,969992000000.0,-28788000000.0,400000000.0,1244490197121.6514,2.0031390492405095,-2.9678595287383813
6506,4567.0,2993.5,52.563888424920655,472696000000.0,1772.451607077698,395227000000.0,33195000000.0,266690497.0,1217975499799.0,2.576657089966913,8.398970718093652
2875,10955.0,10645.0,2.9121653358384236,517397000000.0,4666.234924700024,402636000000.0,64568000000.0,110881044.0,1214701837020.0,2.3477172017232415,16.036320646936687
3288,10085.0,7969.0,26.552892458275814,557348000000.0,4775.605296326794,329850000000.0,40292000000.0,116707300.0,1176993120500.0,2.111774188657715,12.215249355767774
7701,3868.0,3642.0,6.205381658429432,531452000000.0,1795.0200713697566,398722000000.0,50236000000.0,296070227.0,1145199638036.0,2.1548505566561045,12.599254618506128
3563,9640.0,8161.0,18.122779071192262,108410000000.0,934.0119079324276,122656000000.0,13463000000.0,116069184.0,1118906933760.0,10.32106755612951,10.97622619358205
2702,7820.0,6560.0,19.20731707317074,280467000000.0,2109.44,416602000000.0,53257000000.0,132960000.0,1039731843522.4514,3.7071450242718447,12.783664024656627
4186,8112.0,4776.0,69.84924623115577,242299000000.0,1898.9,237029000000.0,47386000000.0,127800000.0,1035088465953.9733,4.2719469166359465,19.99164659176725
6269,13590.0,7880.0,72.46192893401016,230731000000.0,3327.57,717100000000.0,68498000000.0,68345300.0,942319557514.9432,4.084061342060422,9.552084785943384
6370,7792.0,5181.0,50.39567651032619,352738000000.0,3035.592885529582,303604000000.0,40227000000.0,116200694.0,905435807648.0,2.566879121750421,13.249825430494989
9412,3095.0,1346.0,129.94056463595837,296125000000.0,1035.42,93332000000.0,26520000000.0,297681264.0,885154695679.048,2.989125185914894,28.414691638451977
4021,6386.0,5365.0,19.030754892823865,245545000000.0,1808.136966126657,195435000000.0,44984000000.0,135800000.0,867218800000.0,3.531812091469995,23.017371504592322
3110,22140.0,6800.0,225.58823529411765,171358000000.0,4542.532287718701,87594000000.0,14933000000.0,37723012.0,835187485680.0,4.873933435731042,17.047971322236684
9962,2892.0,2352.5,22.933049946865047,366510000000.0,1285.3465163011492,320661000000.0,32264000000.0,285144897.0,824639042124.0,2.2499769232053697,10.061716267335285
7747,3089.0,2707.0,14.111562615441443,158671000000.0,598.0086103350402,71266000000.0,24372000000.0,265332300.0,819611474700.0001,5.165477464060856,34.19863609575394
6856,18830.0,11730.0,60.52855924978686,348640000000.0,8286.08,333081000000.0,53040000000.0,42233252.0,792279485595.1187,2.2724859040704413,15.924054509263513
6806,21455.0,19335.0,10.964572019653485,377632000000.0,10579.714461006004,156549000000.0,32503000000.0,35693969.0,765814104895.0,2.0279375288508388,20.76218947422213
3197,3359.0,3100.0,8.354838709677415,187567000000.0,824.46,457794000000.0,29957000000.0,227502200.0,764182074327.4386,4.074181888751425,6.543772963385278
5631,10040.0,8923.0,12.518211363891062,204869000000.0,2753.026909877564,201143000000.0,17525000000.0,74415909.0,747135726360.0,3.646894973666099,8.712706880179773
4506,1835.0,1793.0,2.342442833240388,288939000000.0,727.28,347746000000.0,109774000000.0,397900154.0,729021924155.7584,2.52309976900231,31.567293369298284
