Strategy,Period,AR,RISK,R/R,MDD,Cumulative
FF5_Large_Growth,2021-10 ~ 2026-03,-2.37,21.23,-0.11,-35.98,-10.24
US_JP_LeadLag_PCA_SUB,2018-09 ~ 2025-12,26.67,10.88,2.45,-10.74,804.65
