year_month,return
2017-06-01,0.04090909090909091
2017-07-03,-0.043668122270742356
2017-08-01,0.10436184366783725
2017-09-01,0.006782271387767468
2017-10-02,0.03863305172415113
2017-11-01,0.05449369881818401
2017-12-01,0.1483871295984861
2018-01-04,0.2448839271042386
2018-02-01,-0.009226757859551637
2018-03-01,0.010721240392436278
2018-04-02,-0.0333439772252135
2018-05-01,0.06746315819021216
2018-06-01,-0.07530724230395447
2018-07-02,0.031208945846449967
2018-08-01,0.012937212624114834
2018-09-03,0.14344980136278943
2018-10-01,-0.18737053585977795
2018-11-01,0.06356877164491988
2018-12-03,-0.16094742133090387
2019-01-04,0.08614915686838008
2019-02-01,0.018883674742805816
2019-03-01,0.002013981186122357
2019-04-01,0.006170441287975468
2019-05-07,-0.14624589603217655
2019-06-03,0.1655680811222552
2019-07-01,0.020744115999963748
2019-08-01,-0.07210828083644348
2019-09-02,0.05674241134390593
2019-10-01,0.09254634147474254
2019-11-01,0.10718825018495282
2019-12-02,0.06699285637336887
2020-01-06,0.08822642161369287
2020-02-03,-0.31608222488679244
2020-03-02,-0.15315680992663738
2020-04-01,0.10571358668253902
2020-05-01,0.07435131247745018
2020-06-01,0.035015225138105475
2020-07-01,-0.06455052914976876
2020-08-03,0.1226170935027417
2020-11-02,0.10071658088863605
2020-12-01,0.02542743123706319
2021-01-04,0.021276906202397267
2021-02-01,0.04154886420963739
2021-03-01,0.11340391306555697
2021-04-01,0.008871719101023202
2021-05-06,-0.015201269830903115
2021-06-01,0.017575775254945306
2021-07-01,-0.032487972386937514
2021-08-02,0.008502983554545214
2021-09-01,0.04337560119539193
2021-10-01,0.03974435968725796
2021-11-01,-0.02998711947019332
2021-12-01,0.005867412343664321
2022-01-04,-0.13115172234182312
2022-02-01,0.01963070678242281
2022-03-01,0.0938828430372914
2022-04-01,-0.02917310740080315
2022-05-02,0.044646320859904116
2022-06-01,0.00990528471393918
2022-07-01,0.07476672214247082
2022-08-01,0.04242275123245753
2022-09-01,-0.060190359257032124
2022-10-03,0.04887109178766692
2022-11-01,0.07510717287823972
2022-12-01,-0.09263542835141998
2023-01-04,0.11210222576910889
2023-02-01,0.07406655747530251
2023-03-01,0.03822989568158047
2023-04-03,0.04298634842146889
2023-05-01,0.033138218959906575
2023-06-01,0.17293061405724397
2023-07-03,0.031461844184834435
2023-08-01,0.03481320367724815
2023-09-01,0.013826570731998165
2023-10-02,-0.10663542513648044
2023-11-01,0.06374065888514342
2023-12-01,0.024288040753168615
2024-01-04,0.08660323306738808
2024-02-01,0.1607063742994521
2024-03-01,0.04014136772513929
2024-04-01,-0.05018751426678862
2024-05-01,-0.00021837159365146306
2024-06-03,0.06483518377113351
2024-07-01,-0.040725959847547344
2024-08-01,-0.028987855330371227
2024-09-02,-0.005305759168597306
2024-10-01,-0.02786534178958417
2024-11-01,0.050453641547914325
2024-12-02,0.021080928144381637
2025-01-06,0.031148761951666035
2025-02-03,0.09087995749454714
2025-03-03,0.007197011546690772
2025-04-01,-0.0032871109257751963
2025-05-01,0.1315095539719706
2025-06-02,0.05356510291501731
2025-07-01,0.10169740418703874
2025-08-01,0.14987481788394685
2025-09-01,-0.05292892442313371
2025-10-01,0.0014354896514929066
2025-11-04,0.08719512985194307
