config,target_vol,lookback,cagr,volatility,sharpe,max_drawdown,win_rate,avg_position,min_position,max_position,avg_leverage,leverage_frequency,cumulative_return
Target15_LB3,0.15,3,0.18171160499004957,0.14983137441066713,1.2127740648764465,-0.2267617117503709,0.7244897959183674,0.9193741172830393,0.26469865032638745,1.0,1.0,0.0,2.9100044743422884
Target20_LB3,0.2,3,0.2837471723067686,0.2656076459606654,1.0682944434091688,-0.3857092236902507,0.7244897959183674,1.6554555781590317,0.35293153376851666,2.0,1.832996621366949,0.8421052631578947,6.6898154398059555
Target25_LB3,0.25,3,0.31918446490996444,0.2804678607634925,1.1380429259918665,-0.40620530808925714,0.7244897959183674,1.7670276452149605,0.44116441721064575,2.0,1.8671297973653767,0.9157894736842105,8.604950869094319
Target30_LB3,0.3,3,0.3366688086022829,0.29332967681435623,1.1477488819358543,-0.42670139248826355,0.7244897959183674,1.8387482345660786,0.5293973006527749,2.0,1.913354937671982,0.9368421052631579,9.695337155266447
