start_date,end_date,cash,portfolio_value,total_value,invested,n_stocks,valid_stocks,return,cumulative_return,peak,drawdown,investment_ratio
2016-10-03,2017-10-02,1082440.0,14749040.0,15831480.0,8917560.0,20,19,,,15831480.0,0.0,0.9316273652242242
2017-10-02,2018-10-01,1431710.0,17087100.0,18518810.0,14399770.0,20,20,0.16974597447617024,0.16974597447617024,18518810.0,0.0,0.9226888768770779
2018-10-01,2019-10-01,2481766.4180000015,11349700.0,13831466.418000001,14773800.0,19,18,-0.253112569436157,-0.12633143471109454,18518810.0,-0.253112569436157,0.8205709833651276
2019-10-01,2020-10-01,1555455.3285000008,11341600.0,12897055.3285,11730080.0,20,19,-0.06755690692954841,-0.1853537806635892,18518810.0,-0.3035699740696081,0.8793945370566298
2020-10-01,2021-10-01,3121015.3285000008,7363800.0,10484815.3285,9776040.0,18,18,-0.18703804384473843,-0.3377236159537832,18518810.0,-0.433828883794369,0.7023299666503038
2021-10-01,2022-10-03,2507370.160500001,5690810.0,8198180.160500001,7935450.0,18,16,-0.21809017100992034,-0.4821595858062543,18518810.0,-0.5573052393485326,0.6941552745350892
2022-10-03,2023-10-02,1323910.1605000012,6046800.0,7370710.160500001,6874270.0,20,19,-0.10093337592004481,-0.5344269669986633,18518810.0,-0.6019879160432015,0.8203822790923321
2023-10-02,2024-10-01,1745510.1605000012,5288350.0,7033860.160500001,5625200.0,18,18,-0.04570115940865449,-0.5557041943962282,18518810.0,-0.6201775297386819,0.7518417880551208
2024-10-01,2025-10-01,1779640.1605000012,6001600.0,7781240.160500001,5254220.0,18,16,0.10625460031137046,-0.5084957211517811,18518810.0,-0.5798196449717881,0.7712909351475863
2025-10-01,2026-01-22,1779640.1605000012,5780250.0,7559890.160500001,0.0,18,18,-0.028446622316535275,-0.5224773577391374,18518810.0,-0.5917723568361033,0.7645944421522788
