start_date,end_date,investment,end_value,gross_return,net_return,cumulative_capital,n_stocks,valid_stocks,peak,drawdown
2016-10-03,2017-10-02,9448510.0,19132620.0,0.968411,0.77167830535,17716783.0535,20,20,17716783.0535,0.0
2017-10-02,2018-10-01,17082590.0,23702240.0,0.37363724441454227,0.297732838211728,22991651.156,20,20,22991651.156,0.0
2018-10-01,2019-10-01,22403040.0,19530610.0,-0.12493361092295446,-0.12493361092295446,20119221.156,20,20,22991651.156,-0.12493361092295446
2019-10-01,2020-10-01,18896710.0,27413170.0,0.42329968610440977,0.33730635487229893,26905562.307,20,20,26905562.307,0.0
2020-10-01,2021-10-01,25954120.0,27677250.0,0.06404363455922624,0.051033170198519426,28278638.447499998,20,20,28278638.447499998,0.0
2021-10-01,2022-10-03,27484640.0,32143590.0,0.16475156711131825,0.13128228625265395,31991122.755,20,20,31991122.755,0.0
2022-10-03,2023-10-02,31387770.0,44959980.0,0.4242492551430929,0.33806301896077356,42806138.2935,20,20,42806138.2935,0.0
2023-10-02,2024-10-01,42039740.0,58903380.0,0.39395378028203726,0.3139220698177414,56243929.8275,20,20,56243929.8275,0.0
2024-10-01,2025-10-01,55266410.0,73234810.0,0.3194726978557338,0.2545718192863414,70562049.36749999,20,20,70562049.36749999,0.0
