date,portfolio_value,total_value,peak,drawdown,daily_return
2017-10-02,8559550.0,9010052.631578948,9010052.631578948,0.0,
2017-10-03,8574980.0,9026294.736842105,9026294.736842105,0.0,0.0018026648597180284
2017-10-04,8511340.0,8959305.263157895,9026294.736842105,-0.007421591653858063,-0.0074215916538580284
2017-10-05,8534300.0,8983473.684210526,9026294.736842105,-0.004744034388418442,0.002697577584727995
2017-10-06,8508750.0,8956578.94736842,9026294.736842105,-0.007723633174654667,-0.002993801483425651
2017-10-10,8624380.0,9078294.736842105,9078294.736842105,0.0,0.0135895401792272
2017-10-11,8602060.0,9054800.0,9078294.736842105,-0.0025880121237700456,-0.0025880121237700227
2017-10-12,8683170.0,9140178.94736842,9140178.94736842,0.0,0.009429136741664124
2017-10-13,8609680.0,9062821.05263158,9140178.94736842,-0.008463498929538321,-0.008463498929538349
2017-10-16,8660910.0,9116747.368421054,9140178.94736842,-0.0025635798907540437,0.00595027922059832
2017-10-17,8673630.0,9130136.842105264,9140178.94736842,-0.0010986770960373891,0.0014686678420627874
2017-10-18,8644170.0,9099126.315789474,9140178.94736842,-0.004491447247951977,-0.003396501810660646
2017-10-19,8603740.0,9056568.421052633,9140178.94736842,-0.00914758089499554,-0.004677140778119759
2017-10-20,8532960.0,8982063.157894738,9140178.94736842,-0.017298981823458313,-0.008226654919837206
2017-10-23,8627770.0,9081863.157894738,9140178.94736842,-0.0063801583983727735,0.011111032982692892
2017-10-24,8693910.0,9151484.210526315,9151484.210526315,0.0,0.007665943807032338
2017-10-25,8666720.0,9122863.157894738,9151484.210526315,-0.003127476589934633,-0.003127476589934619
2017-10-26,8734810.0,9194536.842105264,9194536.842105264,0.0,0.007856490113906878
2017-10-27,8808480.0,9272084.210526315,9272084.210526315,0.0,0.008434070117151915
2017-10-30,8860080.0,9326400.0,9326400.0,0.0,0.005857991390115114
2017-10-31,8921560.0,9391115.789473685,9391115.789473685,0.0,0.006938989264205331
2017-11-01,8924940.0,9394673.684210526,9394673.684210526,0.0,0.00037885750922472816
2017-11-02,8888220.0,9356021.05263158,9394673.684210526,-0.00411431337353519,-0.004114313373535183
2017-11-06,8873680.0,9340715.789473685,9394673.684210526,-0.005743455978415458,-0.0016358730994507908
2017-11-07,8898920.0,9367284.210526315,9394673.684210526,-0.002915425761965886,0.0028443667114432802
2017-11-08,8938890.0,9409357.894736843,9409357.894736843,0.0,0.004491556278739539
2017-11-09,8845440.0,9310989.47368421,9409357.894736843,-0.010454318153596386,-0.010454318153596431
2017-11-10,8852240.0,9318147.368421054,9409357.894736843,-0.009693597303468348,0.0007687576875770041
2017-11-13,8902140.0,9370673.684210526,9409357.894736843,-0.00411124871208858,0.005636991315192352
2017-11-14,8801320.0,9264547.368421054,9409357.894736843,-0.01539005402236745,-0.011325366709577511
2017-11-15,8484040.0,8930568.421052633,9409357.894736843,-0.05088439392363031,-0.03604913808383281
2017-11-16,8638860.0,9093536.842105264,9409357.894736843,-0.03356457009762961,0.018248381667224534
2017-11-17,8710850.0,9169315.789473685,9409357.894736843,-0.025510997450466526,0.00833327545532625
2017-11-20,8841190.0,9306515.789473685,9409357.894736843,-0.010929768684926287,0.014962948506747287
2017-11-21,8949270.0,9420284.210526315,9420284.210526315,0.0,0.01222459872483217
2017-11-22,9059200.0,9536000.0,9536000.0,0.0,0.012283683473624185
2017-11-24,9061380.0,9538294.736842105,9538294.736842105,0.0,0.00024063935005291803
2017-11-27,9166200.0,9648631.578947369,9648631.578947369,0.0,0.011567774444952272
2017-11-28,9174360.0,9657221.05263158,9657221.05263158,0.0,0.0008902271388362415
2017-11-29,9207010.0,9691589.47368421,9691589.47368421,0.0,0.0035588313517236347
2017-11-30,9237240.0,9723410.52631579,9723410.52631579,0.0,0.003283367781722779
2017-12-01,9256260.0,9743431.578947369,9743431.578947369,0.0,0.002059056601322551
2017-12-04,9294440.0,9783621.05263158,9783621.05263158,0.0,0.004124776097473415
2017-12-05,9280290.0,9768726.315789474,9783621.05263158,-0.0015224155516631347,-0.0015224155516631033
2017-12-06,9197800.0,9681894.736842105,9783621.05263158,-0.01039761405743654,-0.00888873084785069
2017-12-07,9406510.0,9901589.47368421,9901589.47368421,0.0,0.022691295744634576
2017-12-08,9454680.0,9952294.736842105,9952294.736842105,0.0,0.0051209215745264824
2017-12-11,9498980.0,9998926.315789474,9998926.315789474,0.0,0.004685510244661906
2017-12-12,9446780.0,9943978.94736842,9998926.315789474,-0.005495326866674194,-0.0054953268666741995
2017-12-13,9395830.0,9890347.368421054,9998926.315789474,-0.010859060657038927,-0.005393372133150054
2017-12-14,9436180.0,9932821.05263158,9998926.315789474,-0.0066112361537765205,0.004294458286282277
2017-12-15,9418100.0,9913789.47368421,9998926.315789474,-0.00851459840951351,-0.0019160295797664428
2017-12-18,9520450.0,10021526.315789474,10021526.315789474,0.0,0.010867372399953279
