date,total_value,peak,drawdown
2017-10-02,9010052.631578948,9010052.631578948,0.0
2017-10-03,9026294.736842105,9026294.736842105,0.0
2017-10-04,8959305.263157895,9026294.736842105,-0.007421591653858063
2017-10-05,8983473.684210526,9026294.736842105,-0.004744034388418442
2017-10-06,8956578.94736842,9026294.736842105,-0.007723633174654667
2017-10-10,9078294.736842105,9078294.736842105,0.0
2017-10-11,9054800.0,9078294.736842105,-0.0025880121237700456
2017-10-12,9140178.94736842,9140178.94736842,0.0
2017-10-13,9062821.05263158,9140178.94736842,-0.008463498929538321
2017-10-16,9116747.368421054,9140178.94736842,-0.0025635798907540437
2017-10-17,9130136.842105264,9140178.94736842,-0.0010986770960373891
2017-10-18,9099126.315789474,9140178.94736842,-0.004491447247951977
2017-10-19,9056568.421052633,9140178.94736842,-0.00914758089499554
2017-10-20,8982063.157894738,9140178.94736842,-0.017298981823458313
2017-10-23,9081863.157894738,9140178.94736842,-0.0063801583983727735
2017-10-24,9151484.210526315,9151484.210526315,0.0
2017-10-25,9122863.157894738,9151484.210526315,-0.003127476589934633
2017-10-26,9194536.842105264,9194536.842105264,0.0
2017-10-27,9272084.210526315,9272084.210526315,0.0
2017-10-30,9326400.0,9326400.0,0.0
2017-10-31,9391115.789473685,9391115.789473685,0.0
2017-11-01,9394673.684210526,9394673.684210526,0.0
2017-11-02,9356021.05263158,9394673.684210526,-0.00411431337353519
2017-11-06,9340715.789473685,9394673.684210526,-0.005743455978415458
2017-11-07,9367284.210526315,9394673.684210526,-0.002915425761965886
2017-11-08,9409357.894736843,9409357.894736843,0.0
2017-11-09,9310989.47368421,9409357.894736843,-0.010454318153596386
2017-11-10,9318147.368421054,9409357.894736843,-0.009693597303468348
2017-11-13,9370673.684210526,9409357.894736843,-0.00411124871208858
2017-11-14,9264547.368421054,9409357.894736843,-0.01539005402236745
2017-11-15,8930568.421052633,9409357.894736843,-0.05088439392363031
2017-11-16,9093536.842105264,9409357.894736843,-0.03356457009762961
2017-11-17,9169315.789473685,9409357.894736843,-0.025510997450466526
2017-11-20,9306515.789473685,9409357.894736843,-0.010929768684926287
2017-11-21,9420284.210526315,9420284.210526315,0.0
2017-11-22,9536000.0,9536000.0,0.0
2017-11-24,9538294.736842105,9538294.736842105,0.0
2017-11-27,9648631.578947369,9648631.578947369,0.0
2017-11-28,9657221.05263158,9657221.05263158,0.0
2017-11-29,9691589.47368421,9691589.47368421,0.0
2017-11-30,9723410.52631579,9723410.52631579,0.0
2017-12-01,9743431.578947369,9743431.578947369,0.0
2017-12-04,9783621.05263158,9783621.05263158,0.0
2017-12-05,9768726.315789474,9783621.05263158,-0.0015224155516631347
2017-12-06,9681894.736842105,9783621.05263158,-0.01039761405743654
2017-12-07,9901589.47368421,9901589.47368421,0.0
2017-12-08,9952294.736842105,9952294.736842105,0.0
2017-12-11,9998926.315789474,9998926.315789474,0.0
2017-12-12,9943978.94736842,9998926.315789474,-0.005495326866674194
2017-12-13,9890347.368421054,9998926.315789474,-0.010859060657038927
2017-12-14,9932821.05263158,9998926.315789474,-0.0066112361537765205
2017-12-15,9913789.47368421,9998926.315789474,-0.00851459840951351
2017-12-18,10021526.315789474,10021526.315789474,0.0
2017-12-19,10031000.0,10031000.0,0.0
2017-12-20,10006810.52631579,10031000.0,-0.002411471805822982
2017-12-21,10019600.0,10031000.0,-0.001136476921543216
2017-12-22,9986589.47368421,10031000.0,-0.004427327915042335
2017-12-25,9936442.105263159,10031000.0,-0.009426567115625692
2017-12-26,9926536.842105264,10031000.0,-0.010414032289376549
2017-12-27,10101800.0,10101800.0,0.0
2017-12-28,10037421.05263158,10101800.0,-0.006373017419511439
2017-12-29,10027273.684210528,10101800.0,-0.0073775283404415365
2018-01-04,10182252.631578948,10182252.631578948,0.0
2018-01-05,10262010.52631579,10262010.52631579,0.0
2018-01-09,10375821.05263158,10375821.05263158,0.0
2018-01-10,10483378.94736842,10483378.94736842,0.0
2018-01-11,10486294.736842105,10486294.736842105,0.0
2018-01-12,10603105.263157895,10603105.263157895,0.0
2018-01-15,10721010.52631579,10721010.52631579,0.0
2018-01-16,10599168.421052633,10721010.52631579,-0.011364796719869197
2018-01-17,10529305.263157895,10721010.52631579,-0.017881268065853974
2018-01-18,10544557.894736843,10721010.52631579,-0.016458582066105232
2018-01-19,10628652.631578948,10721010.52631579,-0.008614663189644265
2018-01-22,10806842.105263159,10806842.105263159,0.0
2018-01-23,10998694.736842105,10998694.736842105,0.0
2018-01-24,11279305.263157895,11279305.263157895,0.0
2018-01-25,11318705.263157895,11318705.263157895,0.0
2018-01-26,11445389.47368421,11445389.47368421,0.0
2018-01-29,11377842.105263159,11445389.47368421,-0.005901709904792651
2018-01-30,11275157.894736843,11445389.47368421,-0.014873375811174603
2018-01-31,11434336.842105264,11445389.47368421,-0.0009656841826448308
