戦略,最終資産,累積リターン,年率リターン,ボラティリティ,シャープレシオ,最大DD,勝率
ベースライン（低PBR×高ROE）,1119295.1325000003,-0.88807048675,-0.23960955500587933,0.42497533080044114,-0.6344122481134838,-0.953504333942568,0.5555555555555556
戦略1（+出来高フィルタ）,1119295.1325000003,-0.88807048675,-0.23960955500587933,0.42497533080044114,-0.6344122481134838,-0.953504333942568,0.5555555555555556
戦略2（+低四半期PER）,904019.4409999993,-0.9095980559,-0.25965720717539054,0.42884043849093034,-0.6754428481480917,-0.9618545085937488,0.5555555555555556
戦略3（+高成長率）,1119295.1325000003,-0.88807048675,-0.23960955500587933,0.42497533080044114,-0.6344122481134838,-0.953504333942568,0.5555555555555556
戦略4（+PEG的スコア）,1119295.1325000003,-0.88807048675,-0.23960955500587933,0.42497533080044114,-0.6344122481134838,-0.953504333942568,0.5555555555555556
