start_date,end_date,cash,portfolio_value,total_value,invested,n_stocks,valid_stocks,return,cumulative_return,peak,drawdown,investment_ratio
2016-10-03,2017-10-02,1170250.0,13154050.0,14324300.0,8829750.0,20,20,,,14324300.0,0.0,0.9183031631563148
2017-10-02,2018-10-01,2071870.0,12633600.0,14705470.0,12252430.0,19,18,0.026610026318912627,0.026610026318912627,14705470.0,0.0,0.8591088894132591
2018-10-01,2019-10-01,4171948.455,7408490.0,11580438.455,9655040.0,18,16,-0.21250810378723017,-0.19155292370307797,14705470.0,-0.2125081037872302,0.6397417531977203
2019-10-01,2020-10-01,5262854.669500001,5689600.0,10952454.6695,6095100.0,14,14,-0.05422798004930973,-0.23539337562743023,14705470.0,-0.25521219862404937,0.5194817209190733
2020-10-01,2021-10-01,2330104.669500001,7545260.0,9875364.6695,8622350.0,19,19,-0.09834233808786641,-0.31058657878569973,14705470.0,-0.32845637239068176,0.7640487468076481
2021-10-01,2022-10-03,2809914.669500001,6078200.0,8888114.6695,7065450.0,18,18,-0.09997099175984003,-0.37950792223703766,14705470.0,-0.395591254852786,0.6838570637322716
2022-10-03,2023-10-02,1070784.6695000008,9039250.0,10110034.6695,7817330.0,20,20,0.13747797428773945,-0.2942039283245951,14705470.0,-0.3124983649281525,0.8940869438627793
2023-10-02,2024-10-01,1340874.6695000008,9483860.0,10824734.6695,8769160.0,20,20,0.07069214135893231,-0.24430969265513824,14705470.0,-0.26389740215715646,0.8761286340552922
2024-10-01,2025-10-01,1725041.6215000004,10673530.0,12398571.6215,8851460.0,20,20,0.145392658577995,-0.1344378698086467,14705470.0,-0.1568734884706167,0.8608677133010503
2025-10-01,2026-01-22,1579850.3165000004,10059700.0,11639550.3165,0.0,20,20,-0.06121844742855731,-0.18742623957191618,14705470.0,-0.20848838449230112,0.8642687841419067
