date,cash,invested,n_stocks,portfolio,total_value,return,cumulative_return,peak,drawdown
2016-10-03,488680.0,9511320.0,20,"{'48160': {'shares': 1400, 'buy_price': np.float64(336.7)}, '35370': {'shares': 800, 'buy_price': np.float64(567.3)}, '66480': {'shares': 1200, 'buy_price': np.float64(413.0)}, '14010': {'shares': 1900, 'buy_price': np.float64(259.8)}, '81110': {'shares': 1200, 'buy_price': np.float64(409.2)}, '61610': {'shares': 1000, 'buy_price': np.float64(480.6)}, '96820': {'shares': 1700, 'buy_price': np.float64(281.5)}, '40820': {'shares': 700, 'buy_price': np.float64(700.0)}, '37630': {'shares': 1500, 'buy_price': np.float64(323.0)}, '37980': {'shares': 4000, 'buy_price': np.float64(123.9)}, '81190': {'shares': 500, 'buy_price': np.float64(903.8)}, '80430': {'shares': 500, 'buy_price': np.float64(868.3)}, '74530': {'shares': 400, 'buy_price': np.float64(1067.5)}, '38360': {'shares': 3300, 'buy_price': np.float64(147.5)}, '72030': {'shares': 400, 'buy_price': np.float64(1158.2)}, '60860': {'shares': 4400, 'buy_price': np.float64(111.7)}, '74190': {'shares': 2300, 'buy_price': np.float64(211.5)}, '34670': {'shares': 1100, 'buy_price': np.float64(427.5)}, '35380': {'shares': 1400, 'buy_price': np.float64(337.8)}, '23170': {'shares': 4100, 'buy_price': np.float64(120.1)}}",10000000.0,,,10000000.0,0.0
2017-10-02,636620.0,17906330.0,20,"{'67620': {'shares': 1800, 'buy_price': np.float64(502.7)}, '75320': {'shares': 4300, 'buy_price': np.float64(212.0)}, '34750': {'shares': 3600, 'buy_price': np.float64(256.5)}, '50190': {'shares': 1400, 'buy_price': np.float64(624.0)}, '19720': {'shares': 1300, 'buy_price': np.float64(708.0)}, '81190': {'shares': 900, 'buy_price': np.float64(996.3)}, '48160': {'shares': 1100, 'buy_price': np.float64(778.7)}, '96820': {'shares': 2400, 'buy_price': np.float64(383.8)}, '37980': {'shares': 5700, 'buy_price': np.float64(162.1)}, '80010': {'shares': 2500, 'buy_price': np.float64(364.9)}, '96970': {'shares': 2700, 'buy_price': np.float64(338.9)}, '34430': {'shares': 400, 'buy_price': np.float64(2093.3)}, '63230': {'shares': 4000, 'buy_price': np.float64(230.0)}, '74530': {'shares': 500, 'buy_price': np.float64(1665.0)}, '69810': {'shares': 500, 'buy_price': np.float64(1832.8)}, '48280': {'shares': 5200, 'buy_price': np.float64(176.3)}, '90220': {'shares': 200, 'buy_price': np.float64(3943.0)}, '23170': {'shares': 5200, 'buy_price': np.float64(175.4)}, '43660': {'shares': 3400, 'buy_price': np.float64(268.0)}, '71920': {'shares': 2500, 'buy_price': np.float64(364.8)}}",18542950.0,0.854295,0.854295,18542950.0,0.0
2018-10-01,511109.70749999955,23593670.0,20,"{'65740': {'shares': 71300, 'buy_price': np.float64(16.9)}, '59670': {'shares': 4000, 'buy_price': np.float64(297.0)}, '46850': {'shares': 1600, 'buy_price': np.float64(720.0)}, '75320': {'shares': 4200, 'buy_price': np.float64(286.5)}, '19720': {'shares': 1700, 'buy_price': np.float64(692.0)}, '60160': {'shares': 3700, 'buy_price': np.float64(323.7)}, '72030': {'shares': 800, 'buy_price': np.float64(1412.0)}, '39920': {'shares': 7600, 'buy_price': np.float64(158.4)}, '62540': {'shares': 5400, 'buy_price': np.float64(222.0)}, '63310': {'shares': 1800, 'buy_price': np.float64(652.7)}, '63230': {'shares': 5100, 'buy_price': np.float64(236.2)}, '72670': {'shares': 1000, 'buy_price': np.float64(1144.7)}, '80010': {'shares': 2700, 'buy_price': np.float64(445.0)}, '74530': {'shares': 700, 'buy_price': np.float64(1680.0)}, '96820': {'shares': 2100, 'buy_price': np.float64(568.8)}, '18610': {'shares': 1500, 'buy_price': np.float64(773.8)}, '85950': {'shares': 800, 'buy_price': np.float64(1481.7)}, '50190': {'shares': 900, 'buy_price': np.float64(1224.0)}, '41130': {'shares': 1200, 'buy_price': np.float64(1004.0)}, '74190': {'shares': 2900, 'buy_price': np.float64(410.5)}}",24104779.7075,0.2999430892873032,1.4104779707499997,24104779.7075,0.0
2019-10-01,910287.1180000007,17860800.0,20,"{'80560': {'shares': 200, 'buy_price': np.float64(3470.0)}, '92680': {'shares': 13000, 'buy_price': np.float64(71.8)}, '73270': {'shares': 2000, 'buy_price': np.float64(459.5)}, '59670': {'shares': 4500, 'buy_price': np.float64(208.0)}, '74620': {'shares': 5700, 'buy_price': np.float64(163.4)}, '19480': {'shares': 1000, 'buy_price': np.float64(930.0)}, '52900': {'shares': 3600, 'buy_price': np.float64(256.2)}, '34310': {'shares': 2200, 'buy_price': np.float64(418.5)}, '29700': {'shares': 7000, 'buy_price': np.float64(132.5)}, '52170': {'shares': 600, 'buy_price': np.float64(1410.0)}, '74530': {'shares': 900, 'buy_price': np.float64(1018.5)}, '53040': {'shares': 500, 'buy_price': np.float64(1640.0)}, '99840': {'shares': 800, 'buy_price': np.float64(1078.8)}, '75320': {'shares': 2600, 'buy_price': np.float64(358.8)}, '74190': {'shares': 3000, 'buy_price': np.float64(311.2)}, '73220': {'shares': 500, 'buy_price': np.float64(1629.0)}, '74640': {'shares': 400, 'buy_price': np.float64(2072.5)}, '31070': {'shares': 1000, 'buy_price': np.float64(923.0)}, '63230': {'shares': 3500, 'buy_price': np.float64(266.9)}, '27260': {'shares': 2200, 'buy_price': np.float64(424.4)}}",18771087.118,-0.22127116091587695,0.8771087118,24104779.7075,-0.221271160915877
2021-10-01,624657.1180000007,285630.0,7,"{'94320': {'shares': 300, 'buy_price': np.float64(123.9)}, '29910': {'shares': 200, 'buy_price': np.float64(221.6)}, '59670': {'shares': 100, 'buy_price': np.float64(366.5)}, '49350': {'shares': 500, 'buy_price': np.float64(86.2)}, '34890': {'shares': 200, 'buy_price': np.float64(214.7)}, '76920': {'shares': 600, 'buy_price': np.float64(75.0)}, '89140': {'shares': 100, 'buy_price': np.float64(364.5)}}",910287.1180000007,-0.9515058924249994,-0.9089712882,24104779.7075,-0.9622362399056992
2022-10-03,551087.1180000007,413700.0,10,"{'94320': {'shares': 300, 'buy_price': np.float64(153.5)}, '67720': {'shares': 100, 'buy_price': np.float64(323.4)}, '54010': {'shares': 100, 'buy_price': np.float64(405.2)}, '29910': {'shares': 100, 'buy_price': np.float64(268.0)}, '49350': {'shares': 700, 'buy_price': np.float64(64.9)}, '98230': {'shares': 100, 'buy_price': np.float64(435.0)}, '74190': {'shares': 100, 'buy_price': np.float64(446.3)}, '70130': {'shares': 100, 'buy_price': np.float64(449.3)}, '34890': {'shares': 200, 'buy_price': np.float64(217.0)}, '92680': {'shares': 200, 'buy_price': np.float64(230.5)}}",964787.1180000007,0.05987121966500242,-0.9035212882,24104779.7075,-0.9599752775297169
2023-10-02,690615.4430000007,454600.0,9,"{'80320': {'shares': 100, 'buy_price': np.float64(482.5)}, '94320': {'shares': 300, 'buy_price': np.float64(175.0)}, '15180': {'shares': 100, 'buy_price': np.float64(537.8)}, '95340': {'shares': 100, 'buy_price': np.float64(472.0)}, '77400': {'shares': 100, 'buy_price': np.float64(566.3)}, '39970': {'shares': 600, 'buy_price': np.float64(90.4)}, '29910': {'shares': 200, 'buy_price': np.float64(271.0)}, '21460': {'shares': 300, 'buy_price': np.float64(146.9)}, '74190': {'shares': 100, 'buy_price': np.float64(437.3)}}",1145215.4430000007,0.18701361329743604,-0.8854784557,24104779.7075,-0.9524901095593221
2024-10-01,943012.2180000008,379190.0,8,"{'95340': {'shares': 100, 'buy_price': np.float64(608.0)}, '21460': {'shares': 300, 'buy_price': np.float64(181.4)}, '54760': {'shares': 100, 'buy_price': np.float64(397.0)}, '29910': {'shares': 100, 'buy_price': np.float64(406.0)}, '26520': {'shares': 100, 'buy_price': np.float64(401.0)}, '50170': {'shares': 100, 'buy_price': np.float64(359.0)}, '37980': {'shares': 100, 'buy_price': np.float64(521.0)}, '31430': {'shares': 100, 'buy_price': np.float64(555.7)}}",1322202.2180000008,0.15454452354953085,-0.8677797782000001,24104779.7075,-0.9451477161772771
2025-10-01,1164807.3915000008,204400.0,3,"{'21460': {'shares': 300, 'buy_price': np.float64(177.7)}, '60590': {'shares': 200, 'buy_price': np.float64(333.0)}, '22150': {'shares': 100, 'buy_price': np.float64(601.0)}}",1369207.3915000008,0.03555066907322346,-0.86307926085,24104779.7075,-0.943197680787185
