CapGroup,PortfolioSize,CumulativeReturn,CAGR,SharpeRatio,MaxDrawdown,WinRate,NumYears
Large,10,0.6854269837157501,0.19006307688053226,0.7147600838988846,-0.10227290803102465,0.6666666666666666,3
Mid,10,0.7703912199498737,0.2097336161880472,1.3515144271998725,0.0,1.0,3
Small,10,0.8447737769281003,0.22644395092345548,1.696132289267477,0.0,1.0,3
