Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
50200,2022-04-01,454.0,2023-03-31,465.2,0.02466960352422905
30030,2022-04-01,1098.0,2023-03-31,1087.0,-0.010018214936247723
41880,2022-04-01,814.0,2023-03-31,785.7,-0.03476658476658471
32910,2022-04-01,2114.0,2023-03-31,2159.0,0.02128666035950804
40910,2022-04-01,2306.0,2023-03-31,2382.0,0.03295750216825672
50210,2022-04-01,2610.0,2023-03-31,4285.0,0.6417624521072797
19250,2022-04-01,3180.0,2023-03-31,3114.0,-0.020754716981132074
40420,2022-04-01,1807.0,2023-03-31,1797.0,-0.005534034311012728
34050,2022-04-01,1037.0,2023-03-31,1217.0,0.17357762777242045
18080,2022-04-01,1399.0,2023-03-31,1539.0,0.10007147962830593
88300,2022-04-01,3364.0,2023-03-31,2982.0,-0.11355529131985731
88040,2022-04-01,1834.0,2023-03-31,1615.0,-0.11941112322791712
25870,2022-04-01,4600.0,2023-03-31,4935.0,0.07282608695652174
64480,2022-04-01,2212.0,2023-03-31,1992.0,-0.09945750452079566
40050,2022-04-01,557.0,2023-03-31,445.0,-0.20107719928186715
51050,2022-04-01,1539.0,2023-03-31,1545.0,0.003898635477582846
45190,2022-04-01,4077.0,2023-03-31,3270.0,-0.19793966151582046
41830,2022-04-01,3050.0,2023-03-31,3410.0,0.1180327868852459
19280,2022-04-01,2354.0,2023-03-31,2698.0,0.14613423959218352
43240,2022-04-01,4850.0,2023-03-31,4650.0,-0.041237113402061855
