Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
51910,2024-04-01,1348.0,2025-03-31,1740.0,0.29080118694362017
69600,2024-04-01,6930.0,2025-03-31,6390.0,-0.07792207792207792
94360,2024-04-01,3580.0,2025-03-31,4270.0,0.19273743016759776
99560,2024-04-01,2516.0,2025-03-31,2390.0,-0.050079491255961846
82180,2024-04-01,3485.0,2025-03-31,2960.0,-0.15064562410329985
61010,2024-04-01,1165.0,2025-03-31,1820.0,0.5622317596566524
51840,2024-04-01,3895.0,2025-03-31,3580.0,-0.08087291399229782
80740,2024-04-01,5350.0,2025-03-31,4530.0,-0.15327102803738318
62500,2024-04-01,1998.0,2025-03-31,2380.0,0.19119119119119118
68040,2024-04-01,1955.0,2025-03-31,1987.0,0.016368286445012786
45590,2024-04-01,2146.0,2025-03-31,2257.0,0.05172413793103448
22920,2024-04-01,3340.0,2025-03-31,2488.0,-0.25508982035928146
40950,2024-04-01,1240.0,2025-03-31,1184.0,-0.04516129032258064
79810,2024-04-01,1953.0,2025-03-31,1757.0,-0.1003584229390681
47220,2024-04-01,1693.0,2025-03-31,1735.0,0.024808033077377438
79900,2024-04-01,2033.0,2025-03-31,1920.0,-0.05558288243974422
26590,2024-04-01,4700.0,2025-03-31,3140.0,-0.33191489361702126
76130,2024-04-01,1743.0,2025-03-31,1091.0,-0.37406769936890416
46330,2024-04-01,1585.0,2025-03-31,1918.0,0.21009463722397476
99340,2024-04-01,3535.0,2025-03-31,3800.0,0.07496463932107496
