Month,MonthlyReturn,CumulativeReturn,RunningMax,Drawdown
2024-01,0.0066,1.0066,1.0066,0.0
2024-02,0.042,1.0488772,1.0488772,0.0
2024-03,0.0111,1.0605197369200001,1.0605197369200001,0.0
2024-04,0.0017,1.0623226204727643,1.0623226204727643,0.0
2024-05,0.0135,1.0766639758491467,1.0766639758491467,0.0
2024-06,0.0135,1.0911989395231103,1.0911989395231103,0.0
2024-07,-0.0059,1.084760865779924,1.0911989395231103,-0.005900000000000035
2024-08,-0.0089,1.0751064940744826,1.0911989395231103,-0.014747490000000077
2024-09,-0.0165,1.0573672369222535,1.0911989395231103,-0.031004156415000123
2024-10,-0.0327,1.022791328274896,1.0911989395231103,-0.06269032050022953
2024-11,0.0561,1.0801699217911176,1.0911989395231103,-0.01010724748029242
2024-12,-0.0194,1.0592146253083699,1.0911989395231103,-0.029311166879174805
2025-01,-0.0238,1.0340053172260306,1.0911989395231103,-0.05241356110745047
2025-02,-0.0139,1.0196326433165888,1.0911989395231103,-0.06558501260805694
2025-03,-0.0272,0.9918986354183775,1.0911989395231103,-0.0910011002651178
2025-04,0.0376,1.0291940241101085,1.0911989395231103,-0.056822741635086244
2025-05,0.0228,1.052659647859819,1.0911989395231103,-0.03531830014436628
2025-06,0.0826,1.13960933477304,1.13960933477304,0.0
2025-07,0.065,1.2136839415332876,1.2136839415332876,0.0
2025-08,0.0317,1.252157722479893,1.252157722479893,0.0
2025-09,0.0461,1.3098821934862162,1.3098821934862162,0.0
2025-10,0.0167,1.331757226117436,1.331757226117436,0.0
2025-11,0.0176,1.3551961532971029,1.3551961532971029,0.0
