Year,CapGroup,NumStocks,PortfolioReturn,MinReturn,MaxReturn,StdReturn
2022,Small,5,0.041222013668258,-0.13272450532724506,0.2107750472589792,0.12219141011888288
2023,Small,5,0.1879690946631261,-0.14285714285714285,0.37961335676625657,0.20420647571861175
2024,Small,5,0.04097828476597566,-0.15064562410329985,0.29080118694362017,0.19012552296919794
2025,Small,5,0.28046107169008233,-0.04466019417475728,0.5505050505050505,0.25243151101742634
