Code,LatestOP,CAGR,IsGrowthB,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap
98100,47600000000.0,0.016254109899924707,True,0.30018466678983624,25268800000.0,Small,476000000000.0,17.83745963401507
52730,13393000000.0,0.06293056789456775,True,0.7294914564391048,10564100000.0,Small,133930000000.0,11.677842882971573
59750,18274000000.0,0.1616600684624805,True,0.6457680505488493,18775360000.0,Small,182740000000.0,8.732969168101171
80140,9993000000.0,-0.01271922496975686,True,0.6479313457367265,10870650000.0,Small,99930000000.0,8.192642574271087
64060,18743000000.0,0.07923046216838192,True,0.6493569149871159,20638800000.0,Small,187430000000.0,8.081438843343605
64300,9940000000.0,-0.04236190744848012,True,0.806667940998439,11326350000.0,Small,99400000000.0,7.775995797410463
96720,15414000000.0,0.02570445296070445,True,0.75447787892038,18200000000.0,Small,154140000000.0,7.469230769230769
95110,15853000000.0,0.21460588386167156,True,0.2595560692487429,20206200000.0,Small,158530000000.0,6.845611742930387
24290,10820000000.0,0.05930400008483527,True,0.2872606251211684,14295180000.0,Small,108200000000.0,6.568984790677697
96210,9136000000.0,-0.006990803321464734,True,0.6935045254504691,12079600000.0,Small,91360000000.0,6.563164343190172
71050,10096000000.0,-0.1371841373584285,True,0.25013081451271596,13424620000.0,Small,100960000000.0,6.520510822652708
81310,8156000000.0,0.16379621306161685,True,0.5048347002290121,10853500000.0,Small,81560000000.0,6.514626618141613
99740,12537000000.0,-0.001845960172995098,True,0.5223737294056661,16688000000.0,Small,125370000000.0,6.5125838926174495
71300,13872000000.0,-0.0317196018898831,True,0.21621756141474646,18626300000.0,Small,138720000000.0,6.447533863408192
65230,17108000000.0,-0.06702753611312229,True,0.28699017672486327,23153520000.0,Small,171080000000.0,6.388941292727845
64200,12275000000.0,-0.07229126873477776,True,0.7100535872424871,18136200000.0,Small,122750000000.0,5.768231492815474
45340,7526000000.0,0.009628106579702367,True,0.754203709801339,11248000000.0,Small,75260000000.0,5.690967283072546
95430,14072000000.0,0.08108183524702417,True,0.708127204872545,21156180000.0,Small,140720000000.0,5.651484341691175
31560,9413000000.0,-0.016554841817588595,True,0.3067957924813879,14200000000.0,Small,94130000000.0,5.628873239436619
47840,8224000000.0,1.7734291466553072,True,0.273036019251669,12548700000.0,Small,82240000000.0,5.553666913704208
