Code,LatestOP,CAGR,IsGrowthB,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap
30030,186826000000.0,0.03412466749668819,True,0.2678727280817143,342993750000.0,Large,1868260000000.0,4.446921408917801
95060,183165000000.0,-0.022599183464375394,True,0.20332580481988327,381450240000.0,Large,1831650000000.0,3.801805865949907
19250,363589000000.0,0.00442502986451454,True,0.35816861172835257,792480000000.0,Large,3635890000000.0,3.587989602261256
25870,148739000000.0,-0.01846140233211313,True,0.6425556184245823,348335100000.0,Large,1487390000000.0,3.26999748230942
29140,867038000000.0,0.27954054428247366,True,0.4888076595987286,2104275060000.0,Large,8670380000000.0,3.1203643785998203
19280,341402000000.0,0.007487180787884684,True,0.437067236949673,856909980000.0,Large,3414020000000.0,2.9841057750313515
95030,387777000000.0,-0.04636808035450124,True,0.3533950755825058,1050625095000.0,Large,3877770000000.0,2.6909169773828787
94040,54202000000.0,0.09702437372382211,True,0.8077923158529736,158123620000.0,Large,542020000000.0,2.4278243819614045
32910,65435000000.0,0.022127869117565258,True,0.5192135663599542,196733160000.0,Large,654350000000.0,2.326078836938318
46890,284198000000.0,0.13268186969050944,True,0.3244624157961123,871177978000.0,Large,2841980000000.0,2.262226630802185
