date,Q1_ROE_value,Q1_ROE_return,Q1_ROA_value,Q1_ROA_return,Q2_ROE_value,Q2_ROE_return,Q2_ROA_value,Q2_ROA_return,Q3_ROE_value,Q3_ROE_return,Q3_ROA_value,Q3_ROA_return,Q4_ROE_value,Q4_ROE_return,Q4_ROA_value,Q4_ROA_return
2017-01-31,10000000.0,,10000000.0,,10000000.0,,10000000.0,,10000000.0,,10000000.0,,10000000.0,,10000000.0,
2017-02-28,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0,10000000.0,0.0
2017-03-31,11031600.0,0.10315999999999992,10846100.0,0.08461000000000007,10045510.0,0.004550999999999972,9964590.0,-0.0035410000000000164,9960110.0,-0.00398900000000002,10069110.0,0.0069109999999998895,10021000.0,0.0020999999999999908,9853800.0,-0.014619999999999966
2017-04-28,10746120.0,0.0746119999999999,10860540.0,0.08605400000000007,10015880.0,0.0015879999999999228,10084810.0,0.008481000000000183,9842070.0,-0.015792999999999946,9943080.0,-0.005692000000000141,9879050.0,-0.012094999999999967,9698250.0,-0.030175000000000063
2017-05-31,11677450.0,0.1677449999999998,12484050.0,0.2484050000000002,10126550.0,0.01265499999999986,10628100.0,0.06281000000000025,11105490.0,0.11054900000000023,10984740.0,0.09847399999999995,10691300.0,0.06913000000000014,10508360.0,0.05083599999999988
2017-06-30,12683780.0,0.268378,12857400.0,0.2857400000000003,10382590.0,0.03825899999999982,11420470.0,0.14204700000000026,11609530.0,0.16095300000000035,11330380.0,0.133038,11398370.0,0.1398370000000002,10485200.0,0.0485199999999999
2017-07-31,12964790.0,0.29647899999999994,13106570.0,0.3106570000000004,10845430.0,0.08454299999999981,11569790.0,0.15697900000000042,11709160.0,0.1709160000000003,11438670.0,0.14386699999999997,11187350.0,0.11873500000000026,10614230.0,0.06142299999999978
2017-08-31,13663200.0,0.36632,13974450.0,0.3974450000000005,10912770.0,0.09127699999999983,11945580.0,0.19455800000000045,11544060.0,0.15440600000000027,11728020.0,0.1728019999999999,11021030.0,0.10210300000000028,10614460.0,0.06144599999999967
2017-09-29,14779320.0,0.4779319999999998,14736940.0,0.4736940000000007,11408400.0,0.14083999999999985,12590310.0,0.25903100000000046,11887650.0,0.18876500000000007,12000580.0,0.20005799999999985,11179920.0,0.11799200000000032,10713770.0,0.07137699999999958
2017-10-31,15692060.0,0.5692059999999999,15262880.0,0.5262880000000008,12371010.0,0.237101,13582610.0,0.3582610000000006,12481270.0,0.248127,12784670.0,0.2784669999999998,11457580.0,0.14575800000000028,10720450.0,0.07204499999999969
2017-11-30,16314790.0,0.6314789999999997,15600990.0,0.560099000000001,13054130.0,0.30541299999999993,15137230.0,0.5137230000000008,13148670.0,0.314867,13106150.0,0.31061499999999986,11509630.0,0.15096300000000018,10728950.0,0.07289499999999971
2017-12-29,17152450.0,0.7152449999999995,15851210.0,0.5851210000000011,13716030.0,0.3716029999999999,15927550.0,0.5927550000000008,13726370.0,0.3726370000000001,13912940.0,0.3912939999999998,11752390.0,0.17523900000000014,11020500.0,0.10204999999999975
2018-01-31,17063539.3425,0.7063539342499996,15531346.6885,0.553134668850001,13594219.3555,0.3594219355499999,16224448.2175,0.6224448217500009,13716889.9095,0.3716889909500001,13822537.614,0.3822537613999999,12292581.9715,0.22925819715000006,11634415.425,0.16344154249999998
2018-02-28,16801079.3425,0.6801079342499996,14833756.6885,0.48337566885000105,13585009.3555,0.35850093554999996,15931758.2175,0.5931758217500009,12964449.9095,0.29644499095,13138107.614,0.31381076139999986,11875221.9715,0.18752219715000007,11750365.425,0.1750365425
2018-03-30,17012969.3425,0.7012969342499997,14673576.6885,0.4673576688500012,14032509.3555,0.40325093555,16211198.2175,0.6211198217500009,13042049.9095,0.30420499095,13312697.614,0.33126976139999975,12136371.9715,0.21363719715000018,12260165.425,0.22601654250000003
2018-04-27,17652919.3425,0.76529193425,15156126.6885,0.5156126688500013,14069079.3555,0.40690793555000004,15840598.2175,0.5840598217500008,12727619.9095,0.27276199094999987,12847067.614,0.2847067613999996,11960121.9715,0.19601219715000018,11561245.425,0.15612454249999996
2018-05-31,18249229.3425,0.8249229342500002,15565486.6885,0.5565486688500012,14326909.3555,0.43269093554999993,16742798.2175,0.6742798217500008,13007419.9095,0.30074199095,12963407.614,0.29634076139999954,12750511.9715,0.27505119715000004,12361065.425,0.23610654249999996
2018-06-29,18337929.3425,0.8337929342500001,15551946.6885,0.5551946688500011,13943859.3555,0.3943859355499999,16497448.2175,0.6497448217500008,12624629.9095,0.26246299095000003,12557767.614,0.2557767613999995,12595861.9715,0.25958619715,12276455.425,0.2276455424999999
2018-07-31,18968589.3425,0.8968589342500002,15813286.6885,0.5813286688500012,14261899.3555,0.42618993554999984,17058108.2175,0.705810821750001,13253239.9095,0.3253239909500001,12945937.614,0.2945937613999994,12315391.9715,0.23153919714999982,12249835.425,0.22498354249999997
2018-08-31,18785239.3425,0.8785239342500002,15574956.6885,0.5574956688500012,14608899.3555,0.4608899355499998,17293378.2175,0.7293378217500011,13308939.9095,0.33089399095000016,13278457.614,0.32784576139999944,11870771.9715,0.18707719714999982,12208165.425,0.22081654249999993
2018-09-28,19487179.3425,0.9487179342500001,15981166.6885,0.598116668850001,14918059.3555,0.49180593554999974,17452498.2175,0.7452498217500012,13334829.9095,0.3334829909500001,13697627.614,0.3697627613999994,12029371.9715,0.20293719715000003,12669865.425,0.2669865425
2018-10-31,17765919.3425,0.7765919342500001,15151836.6885,0.5151836688500009,13829049.3555,0.3829049355499998,16541428.217500001,0.6541428217500012,12023949.9095,0.20239499095000024,12453397.614,0.24533976139999947,10465771.9715,0.04657719714999997,11174795.425,0.11747954249999992
2018-11-30,17865069.3425,0.7865069342500002,15093946.6885,0.5093946688500008,13720469.3555,0.3720469355499998,16449488.217500001,0.6449488217500012,11958889.9095,0.19588899095000034,13069027.614,0.3069027613999995,10753571.9715,0.07535719715,11592785.425,0.15927854250000006
2018-12-28,14653639.342500001,0.4653639342500002,13020636.6885,0.3020636688500007,11430929.3555,0.1430929355499999,13968558.217500001,0.3968558217500011,9917939.9095,-0.008206009049999685,10941067.614,0.09410676139999952,8564451.9715,-0.14355480285,9636415.425,-0.0363584575
2019-01-31,16010499.342500001,0.60104993425,14432626.6885,0.44326266885000076,13076669.3555,0.3076669355499999,15548708.217500001,0.5548708217500011,11081159.9095,0.10811599095000046,11737267.614,0.17372676139999954,9198101.9715,-0.08018980284999988,10700565.425,0.07005654249999993
2019-02-28,16187999.342500001,0.6187999342499999,14373456.6885,0.4373456688500008,14011879.3555,0.4011879355499999,15907938.217500001,0.5907938217500013,11205889.9095,0.12058899095000064,11844727.614,0.18447276139999969,9414371.9715,-0.05856280284999993,11045955.425,0.10459554250000003
2019-03-29,16398989.342500001,0.6398989342499999,15381676.6885,0.5381676688500008,14091959.3555,0.4091959355499999,16033158.217500001,0.6033158217500014,11370019.9095,0.13700199095000065,11937717.614,0.19377176139999963,9684881.9715,-0.03151180284999988,10970025.425,0.09700254250000007
2019-04-26,15931929.342500001,0.59319293425,15586556.6885,0.5586556688500008,14217169.3555,0.4217169355499999,16555798.217500001,0.6555798217500015,11896199.9095,0.1896199909500007,12212167.614,0.22121676139999957,9699751.9715,-0.030024802849999865,10843665.425,0.0843665425000002
2019-05-31,14960979.342500001,0.49609793425000004,14892206.6885,0.48922066885000093,13506799.3555,0.3506799355499999,15310378.217500001,0.5310378217500014,11207469.9095,0.12074699095000074,11214427.614,0.12144276139999954,9419691.9715,-0.05803080284999984,10717125.425,0.07171254250000003
