month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-07,2017-07-03,2017-08-01,0.19228782110815,0.019532867856269873,0.11863359003170737,3,1.19228782110815,1.0195328678562698,1.1186335900317075
2017-08,2017-08-01,2017-09-01,-0.024905243418009933,0.024785942300730064,-0.0064929332277404985,9,1.1625936026991228,1.0448029506926533,1.111370376825324
2017-09,2017-09-01,2017-10-02,0.0,0.010307186656116409,0.006833596834485419,0,1.1625936026991228,1.0555719297243036,1.1189650339143384
2017-10,2017-10-02,2017-11-01,0.073720225268028,0.03632827989831156,0.04530563411316254,51,1.2483002649852704,1.093919042240129,1.169660454326284
2017-11,2017-11-01,2017-12-01,0.08554089215642306,0.02531202477001684,0.044388620502920376,96,1.3550809833312099,1.1216083481337045,1.221580068350647
2017-12,2017-12-01,2018-01-04,0.05694546408811491,0.03533941276990859,0.03751045062468465,11,1.4322466988039846,1.1612453285145767,1.267402087188613
2018-01,2018-01-04,2018-02-01,0.1326580969205911,0.0452024723424401,0.060253876494229044,46,1.6222458201881202,1.2137364883595445,1.3437679760186036
2018-02,2018-02-01,2018-03-01,-0.006705240542073821,-0.05144826698414718,-0.035497752337058,94,1.6113682717453852,1.1512918494580213,1.2960672332074257
2018-03,2018-03-01,2018-04-02,0.05451203402450334,0.017422187476165172,0.03848907037828505,11,1.6992072338007749,1.1713498718990598,1.3459516561613354
2018-04,2018-04-02,2018-05-01,0.0026196730725381485,0.016944145942841608,0.012884457164942336,42,1.7036586012358246,1.1911973950786463,1.363293512621229
2018-05,2018-05-01,2018-06-01,0.06196659805612746,0.002113704499320384,0.023047130019497132,108,1.8092285290034693,1.1937152343722028,1.3947135154613477
2018-06,2018-06-01,2018-07-02,0.010802348526859925,-0.033970492271661636,-0.03744684139288883,13,1.828772446138503,1.1531641402283972,1.3424858996593483
2018-07,2018-07-02,2018-08-01,0.05534461717889286,0.020603083097550275,0.013660135475007407,59,1.929985157077346,1.176922876834638,1.3608244389219821
2018-08,2018-08-01,2018-09-03,0.04875752118960548,-0.01377454267633486,-0.0075649368088472795,110,2.0240864492691686,1.1607113024409246,1.3505298880336023
2018-09,2018-09-03,2018-10-01,0.053196965412979864,0.03720849193435387,0.02874990021640035,16,2.1317617061038217,1.203899619575911,1.3893574875538348
2018-10,2018-10-01,2018-11-01,-0.02531101753773038,-0.0875026155074385,-0.07453137084551995,51,2.0778046481743657,1.0985552540546086,1.2858067694119601
2018-11,2018-11-01,2018-12-03,0.0584622363421378,0.027374483682743696,0.023373604999207365,97,2.1992777545887283,1.1286276369313188,1.3158607089455021
2018-12,2018-12-03,2019-01-04,-0.1341175506370188,-0.16467810464219224,-0.18977032151034604,14,1.9043160089728055,0.9427673768346729,1.0661493991460824
2019-01,2019-01-04,2019-02-01,0.10322555471134835,0.07023636923523506,0.0838380265236891,55,2.1008900853447243,1.0089839344169669,1.155533260749907
2019-02,2019-02-01,2019-03-01,0.06681496919493803,0.05677161521652616,0.058424979571827414,104,2.241260991678983,1.0662655821013436,1.2230452679037873
2019-03,2019-03-01,2019-04-01,0.015615849675037173,0.029389725029658222,0.07853398572684822,11,2.2762601864075664,1.0976028343678905,1.3190958875166328
2019-04,2019-04-01,2019-05-07,0.04923474298506355,0.01036523904571224,0.014676550752999187,51,2.3883312716524756,1.1089797501233651,1.338455665257843
2019-05,2019-05-07,2019-06-03,-0.05549382569188828,-0.07507868816374434,-0.06439153991317413,110,2.255793632368907,1.025719005283946,1.2522704438663785
2019-06,2019-06-03,2019-07-01,0.06812860418315037,0.07572974322480683,0.06266227147239949,14,2.4094777038674393,1.1033964421749034,1.3307405543767956
2019-07,2019-07-01,2019-08-01,0.05134570971167877,0.009729555862224928,0.020225033083549938,71,2.533194046606979,1.1141319994972245,1.3576548261146877
