Date,Return,Cumulative
2018-09-17,4.4408920985006264e-17,1.0
2018-09-18,-0.0012842504307531309,0.9987157495692469
2018-09-19,0.008073403425266768,1.0067787847226872
2018-09-20,-0.0019186257070503917,1.0048471530650054
2018-09-21,-0.00275846706153451,1.0020753152913988
2018-09-24,2.2204460492503132e-17,1.0020753152913988
2018-09-25,0.013696655715349726,1.0158003958857957
2018-09-26,-0.0008041851671213745,1.0149835042746684
2018-09-27,-0.0018382750313035157,1.0131176854415753
2018-09-28,3.219244300667421e-06,1.01312094691491
2018-10-01,-0.0018892923758490722,1.0112068652340906
2018-10-02,0.004035619552860981,1.0152877114314167
2018-10-03,0.007914979967170476,1.0233236933283107
2018-10-04,0.003816065857292816,1.0272287639353797
2018-10-05,0.00266432690694638,1.029965637170722
2018-10-08,0.0,1.029965637170722
2018-10-09,-0.004815564269835227,1.0250057714492047
2018-10-10,-0.005371257505115291,1.0195002015065218
2018-10-11,0.002270883542819479,1.0218153677360242
2018-10-12,0.0023515425504383684,1.0242182100519472
2018-10-15,0.005284215225099276,1.0296303995113278
2018-10-16,0.0032976339501563424,1.0330257436728694
2018-10-17,0.0009551104837936864,1.03401239739068
2018-10-18,0.00849214671415024,1.042793382373572
2018-10-19,0.0025462880963741386,1.0454486347500875
2018-10-22,-0.004596541590667248,1.0406431866195525
2018-10-23,-0.003575087251189113,1.036922796430032
2018-10-24,0.005790270890305437,1.042926860313695
2018-10-25,0.005238528491390326,1.0483902623858845
2018-10-26,-0.001445993474186147,1.0468742969080742
2018-10-29,0.0008213674310712181,1.04773416535998
2018-10-30,-0.014196852466531507,1.03285963799022
2018-10-31,0.007361861133316916,1.0404634072153118
2018-11-01,-0.002688025976484121,1.037666614549136
2018-11-02,0.009237690827595003,1.0472522579164583
2018-11-05,-0.0017453741664338993,1.0454244108797512
2018-11-06,-0.0027927340867826005,1.0425048184923327
2018-11-07,-0.007161289775115521,1.0350391393951548
2018-11-08,-0.001357707363720007,1.0336338591338596
2018-11-09,0.005982255070859899,1.0398173205290757
2018-11-12,0.0021782651785037907,1.0420823183903893
2018-11-13,-0.0021897088872608,1.0398004614765526
2018-11-14,0.0088508985563297,1.0490036298799061
2018-11-15,-0.0039616764346407825,1.0448478169195583
2018-11-16,0.0016560928615066085,1.0465781819305195
2018-11-19,-0.009404310452795928,1.0367358357945222
2018-11-20,0.0005720943453193965,1.0373289465037703
2018-11-21,-0.000517078215583,1.0367925663031394
2018-11-22,-0.0032652710150391506,1.0334071575877817
2018-11-26,-0.0006140362497956799,1.0327726081322244
2018-11-27,0.0008011847670772676,1.0336000498137146
2018-11-28,0.0010436827974009692,1.034678800405098
2018-11-29,0.0034967693567670823,1.038296833528451
2018-11-30,0.00021575819087509256,1.0385208545748443
2018-12-03,-0.00857554924541475,1.0296149678440476
2018-12-04,-0.016589318638470307,1.0125343570675442
2018-12-05,0.012287644135350152,1.0249760189220058
2018-12-07,0.0014227642276422926,1.0264343181359192
2018-12-10,0.0007335535406988837,1.0271872626642826
2018-12-11,0.008374672917410808,1.0357896200140264
2018-12-12,-0.007926039897918603,1.0275799101599452
2018-12-13,0.0037710688802318425,1.031454984781101
2018-12-14,0.0064363318540246565,1.03809377135564
2018-12-17,-0.0020080924384505267,1.036009183102978
2018-12-18,0.0019652343534251712,1.038045183940076
2018-12-19,0.005048073363492422,1.0432853121832253
2018-12-20,0.011026484713442964,1.0547890817297731
2018-12-21,0.006127358332065215,1.0612521523982814
2018-12-24,2.2204460492503132e-17,1.0612521523982814
2018-12-25,-0.0010786697073289265,1.0601074118496518
2018-12-27,-0.011179216848076169,1.0482562412103318
2018-12-28,-0.0069787564065686425,1.0409407162512596
2018-12-31,0.0,1.0409407162512596
2019-01-04,-0.005550015259166541,1.0351634793921773
2019-01-04,-0.01081578315860181,1.0239673756653678
2019-01-04,-0.01081578315860181,1.0128923665686886
2019-01-04,-0.005550015259166541,1.0072707984783391
2019-01-04,-0.01081578315860181,0.9963763759400057
2019-01-04,-0.01081578315860181,0.9855997851134851
2019-01-04,-0.005550015259166541,0.980129691266674
2019-01-04,-0.01081578315860181,0.9695288210586264
2019-01-04,-0.01081578315860181,0.9590426075640415
2019-01-07,0.01085944106314405,0.969457274237927
2019-01-08,-0.006348347213305417,0.9633028228526
2019-01-09,-0.0003341036419911348,0.9629809798711446
2019-01-10,0.0005681094271686947,0.9635280584439937
2019-01-11,-0.00026632178752767906,0.9632714499291358
2019-01-15,-0.0046436519203684416,0.9587983526108363
2019-01-15,0.0046436519203684416,0.9632506784221838
2019-01-15,-0.0046436519203684416,0.9587776775595325
