date,rebalance_date,value,n_stocks,valid_stocks,normalized_value,cumulative_value,daily_return,peak,drawdown,year_month
2017-10-02,2017-10-02,1.0,20,20,1.0,1.0,,1.0,0.0,2017-10
2017-10-03,2017-10-02,1.0112152553364597,20,20,1.0112152553364597,1.0112152553364597,0.011215255336459728,1.0112152553364597,0.0,2017-10
2017-10-04,2017-10-02,1.012708768148682,20,20,1.012708768148682,1.012708768148682,0.0014769484581453884,1.012708768148682,0.0,2017-10
2017-10-05,2017-10-02,1.0102505944014095,20,20,1.0102505944014095,1.0102505944014095,-0.002427325431146543,1.012708768148682,-0.0024273254311465773,2017-10
2017-10-06,2017-10-02,1.0089686472148842,20,20,1.0089686472148842,1.0089686472148842,-0.0012689397993226326,1.012708768148682,-0.003693185100623726,2017-10
2017-10-10,2017-10-02,1.0259258581061848,20,20,1.0259258581061848,1.0259258581061848,0.01680647950568992,1.0259258581061848,0.0,2017-10
2017-10-11,2017-10-02,1.030863505148852,20,20,1.030863505148852,1.030863505148852,0.004812869276715537,1.030863505148852,0.0,2017-10
2017-10-12,2017-10-02,1.0351612367368423,20,20,1.0351612367368423,1.0351612367368423,0.004169059789705054,1.0351612367368423,0.0,2017-10
2017-10-13,2017-10-02,1.0351274835306397,20,20,1.0351274835306397,1.0351274835306397,-3.260671381888347e-05,1.0351612367368423,-3.2606713818894665e-05,2017-10
2017-10-16,2017-10-02,1.0336100705513918,20,20,1.0336100705513918,1.0336100705513918,-0.0014659189359674807,1.0351612367368423,-0.0014984778509871191,2017-10
2017-10-17,2017-10-02,1.034824702576286,20,20,1.034824702576286,1.034824702576286,0.0011751356333498109,1.0351612367368423,-0.0003251031323556978,2017-10
2017-10-18,2017-10-02,1.03041710944022,20,20,1.03041710944022,1.03041710944022,-0.004259265482446484,1.0351612367368423,-0.004582983914252271,2017-10
2017-10-19,2017-10-02,1.0292370596226208,20,20,1.0292370596226208,1.0292370596226208,-0.001145215667313737,1.0351612367368423,-0.005722951076584401,2017-10
2017-10-20,2017-10-02,1.0255107409947297,20,20,1.0255107409947297,1.0255107409947297,-0.00362046682351036,1.0351612367368423,-0.009322698145589439,2017-10
2017-10-23,2017-10-02,1.0349461551211214,20,20,1.0349461551211214,1.0349461551211214,0.009200697515112877,1.0351612367368423,-0.00020777595613890088,2017-10
2017-10-24,2017-10-02,1.0448365866377278,20,20,1.0448365866377278,1.0448365866377278,0.009556469645948695,1.0448365866377278,0.0,2017-10
2017-10-25,2017-10-02,1.0319152020614404,20,20,1.0319152020614404,1.0319152020614404,-0.012366895207860495,1.0448365866377278,-0.012366895207860504,2017-10
2017-10-26,2017-10-02,1.0346711328037645,20,20,1.0346711328037645,1.0346711328037645,0.0026706949726282847,1.0448365866377278,-0.009729228440090897,2017-10
2017-10-27,2017-10-02,1.0507628404464202,20,20,1.0507628404464202,1.0507628404464202,0.015552485357400725,1.0507628404464202,0.0,2017-10
2017-10-30,2017-10-02,1.0554555982093126,20,20,1.0554555982093126,1.0554555982093126,0.00446604845761267,1.0554555982093126,0.0,2017-10
2017-10-31,2017-10-02,1.0618496261136718,20,20,1.0618496261136718,1.0618496261136718,0.006058073797900576,1.0618496261136718,0.0,2017-10
2017-11-01,2017-10-02,1.062965542059281,20,20,1.062965542059281,1.062965542059281,0.001050917114971739,1.062965542059281,0.0,2017-11
2017-11-02,2017-10-02,1.062498711722538,20,20,1.062498711722538,1.062498711722538,-0.00043917729998910193,1.062965542059281,-0.0004391772999890538,2017-11
2017-11-06,2017-10-02,1.069624976574793,20,20,1.069624976574793,1.069624976574793,0.006707080934434062,1.069624976574793,0.0,2017-11
2017-11-07,2017-10-02,1.081166578848772,20,20,1.081166578848772,1.081166578848772,0.010790326073852885,1.081166578848772,0.0,2017-11
2017-11-08,2017-10-02,1.0859651163725625,20,20,1.0859651163725625,1.0859651163725625,0.004438296204919645,1.0859651163725625,0.0,2017-11
2017-11-09,2017-10-02,1.0773143132006062,20,20,1.0773143132006062,1.0773143132006062,-0.007966004654783476,1.0859651163725625,-0.007966004654783485,2017-11
