year_month,return
40,0.02414651702583015
61,0.044546936619551225
80,0.052683735154918976
99,0.008899710426197416
120,-0.013134796939892501
140,0.0004967620655746963
161,0.04440214630491779
182,0.016037242399211227
203,0.02812683264926852
226,0.031079670097764245
244,0.039000149278693996
266,-0.06453550215009562
287,-0.0063598349889518735
306,-0.13833185326555952
325,0.051866186226194655
344,0.016660563585715993
364,0.016553434271158407
384,-0.0024032803437961103
403,-0.08809061131189089
423,0.0649708121189132
445,0.024729536092153337
466,-0.026013489558496916
485,0.04792540999029149
506,0.06339598385308376
526,0.05673332721089008
547,0.09438570147800984
566,-0.01282125293593872
584,-0.05157721027770146
605,-0.09633216521315469
626,0.03630626147481375
644,0.10803093992668344
666,0.05262353141194365
687,-0.07246080779401554
707,0.1339844000117465
727,0.04210098448102584
748,0.0
767,0.0
789,0.0
808,0.0
826,0.0
849,0.0
870,0.0
888,0.0
910,0.0
930,0.0
951,0.0
971,0.0
992,0.0020131591510368363
1012,-0.02784714705796376
1034,0.0010503364610303656
1053,-0.03714324266029578
1071,0.023401418733572266
1093,-0.007231876158142692
1113,-0.005896378812857095
1132,0.05254377208985428
1154,-0.012484481746077858
1174,0.034494789184414065
1196,0.012357216651760705
1216,-0.0007249354019059906
1236,0.015336246559237043
1256,0.052368824046652884
1278,0.004565980773238554
1297,0.03566150148750058
1316,0.07799085263073402
1338,-0.020360164788508883
1358,0.003941553816593224
1378,0.03347003644489055
1400,0.09563314720526717
1420,0.04190710461473879
1442,0.03595999594122845
1462,0.03910725858764974
1483,-0.006506550023699487
1503,0.06657482917234803
1524,0.032308579301491
1543,0.06577118182899899
1562,0.05985228019311184
1582,0.029746014253040576
1603,0.05740343113732749
1624,0.045237833712491904
1644,0.04127065075732972
1666,-0.018398312753076018
1687,-0.021475959857552573
1706,0.003618712923876055
1728,-0.02145815715853594
1748,-0.02909734813935405
1769,0.05173757898080922
1788,-0.008890274286486144
1806,0.0075949216128614605
1826,-0.00869094934292658
1847,-0.0024309773010335878
1867,0.09272767076032107
1888,0.05566538254420306
1910,0.05958301094273355
1930,0.1050592517075688
1950,0.02690216396132583
1972,0.05516228250565636
1990,0.048582501458935834
2012,0.027537950215338558
2025,0.059064722255044
