start_date,end_date,cash,portfolio_value,total_value,invested,n_stocks,valid_stocks,return,cumulative_return,peak,drawdown,investment_ratio
2017-10-02,2018-10-01,1193950.0,8758530.0,9952480.0,8806050.0,20,20,,,9952480.0,0.0,0.8800349259682009
2018-10-01,2019-10-01,1004250.0,7236430.0,8240680.0,8948230.0,20,20,-0.1719973313184252,-0.1719973313184252,9952480.0,-0.17199733131842515,0.8781350568156997
2019-10-01,2020-10-01,1429100.0,8834110.0,10263210.0,6811580.0,19,19,0.24543241577151398,0.031221363921354106,10263210.0,0.0,0.8607550659101783
2020-10-01,2021-10-01,2613910.0,6716200.0,9330110.0,7649300.0,18,18,-0.09091697431895085,-0.0625341623394371,10263210.0,-0.09091697431895089,0.7198414595326315
2021-10-01,2022-10-03,2152663.0305000003,5941050.0,8093713.0305,6766570.0,19,19,-0.13251686952243857,-0.1867642004304455,10263210.0,-0.21138581101819018,0.7340326964412999
2022-10-03,2023-10-02,1440443.0305000003,6762380.0,8202823.0305,6653270.0,20,20,0.013480833776640555,-0.17580110379523495,10263210.0,-0.2007546342226262,0.8243966711040701
2023-10-02,2024-10-01,2198333.0305000003,6063850.0,8262183.0305,6004490.0,18,18,0.007236533054447936,-0.16983676123940972,10263210.0,-0.19497086871456393,0.7339283065522981
2024-10-01,2025-10-01,2746317.3340000007,5530700.0,8277017.334000001,5493700.0,16,14,0.0017954460032221231,-0.16834624797035513,10263210.0,-0.19352548237832015,0.6681996396553638
2025-10-01,2026-01-22,2734258.3500000006,6314300.0,9048558.350000001,0.0,16,16,0.09321486048249472,-0.09082375950516852,10263210.0,-0.11835007273552801,0.6978238693680965
