Strategy,Period,Duration_Years,Annual_Return,Sharpe_Ratio,Max_Drawdown,Notes
US_JP_LeadLag_PCA_SUB,2018-09~2025-12,7.3,26.67,2.45,-10.74,Long-short sector lead-lag
Sector_Momentum,2025-12~2026-03,0.25,125.67,3.55,-3.08,⚠️ Short-term only - needs long-term validation
High_OP_Margin,2017-01~2026-01,9.0,1.57,0.28,-10.90,Stable quality factor
Low_PER_High_ROE,2017-01~2026-01,9.0,2.27,0.22,-67.06,High DD risk
FF5_Large_Growth,2021-10~2026-03,4.5,-2.37,-0.11,-35.98,Failed in rising rate environment
Weekly_Long_Only,2017-01~2026-01,9.0,-13.61,-0.14,-86.37,Failed long-only momentum
