month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-08,2017-08-01,2017-09-01,0.10436184366783725,0.02801356831646564,0.045028055955303965,4,1.1043618436678373,1.0280135683164657,1.045028055955304
2017-09,2017-09-01,2017-10-02,0.017541238963634697,0.0327908912492143,0.044378905975956846,11,1.123733718669935,1.0617230494378478,1.0914052577927815
2017-10,2017-10-02,2017-11-01,0.04674142535082453,0.05214248484410245,0.07055397444680139,11,1.17625863439535,1.1170839274517952,1.1684082364621982
2017-11,2017-11-01,2017-12-01,0.025157401408037443,0.014222523763596766,0.0162005966239741,55,1.2058502450205038,1.1329716801559102,1.187337146993251
2017-12,2017-12-01,2018-01-04,0.07776162158556915,0.04762334340021368,0.05223082803856222,146,1.2996191154626542,1.1869275795426923,1.2493527493416525
2018-01,2018-01-04,2018-02-01,0.09775956030709812,0.04724442391192373,0.09357889564837668,155,1.426669308756983,1.2430032892633607,1.3662657999003076
2018-02,2018-02-01,2018-03-01,0.0010367537743929697,-0.0498729384489099,-0.026142773350020146,157,1.4281484135476474,1.1810110627261365,1.33054782275763
2018-03,2018-03-01,2018-04-02,0.00788569136365731,-0.011916067903831692,0.01198158364628634,160,1.4394103511583811,1.1669380547075154,1.3464898927913849
2018-04,2018-04-02,2018-05-01,-0.02691464973591237,0.005005996421627759,-0.007370519493221414,152,1.4006691257307067,1.1727797424336426,1.3365655627891404
2018-05,2018-05-01,2018-06-01,0.02233102235123207,0.0033941565193478145,0.024313457443381634,152,1.4319474992840797,1.1767603404421827,1.3690620927203037
2018-06,2018-06-01,2018-07-02,-0.040816706406982636,-0.03550793413029963,-0.02895145195493851,160,1.3735001186155884,1.1349760117866128,1.3294257573195842
2018-07,2018-07-02,2018-08-01,0.012415607120621681,0.018882124703453972,0.009978638696386924,163,1.3905529564684467,1.1564067703765966,1.342691616625547
2018-08,2018-08-01,2018-09-03,0.00933702816247736,-0.01655067174952057,-0.002737003236007941,171,1.4035365885844087,1.1372674615111704,1.3390166653258821
2018-09,2018-09-03,2018-10-01,0.0640025179594313,0.04182910812069422,0.04067594746604877,187,1.493366464302001,1.1848383451208686,1.3934824368608416
2018-10,2018-10-01,2018-11-01,-0.09026304129184691,-0.09597827575946993,-0.07849567998060591,191,1.35857066547085,1.071119603702464,1.2841000854384181
2018-11,2018-11-01,2018-12-03,0.04604411725334165,0.03170806950814458,0.026044956611575812,185,1.4211248524887403,1.105082738548198,1.3175444164485826
2018-12,2018-12-03,2019-01-04,-0.1590310356549099,-0.15882241753246568,-0.15513559779651911,167,1.195121895402525,0.9295708264385755,1.1131463757793658
2019-01,2019-01-04,2019-02-01,0.09744956673390594,0.07040268269380122,0.09463309001115959,169,1.3115860063037055,0.995015106373745,1.2184868569540905
2019-02,2019-02-01,2019-03-01,0.0477246557636996,0.05039982667454197,0.05190521863717541,163,1.3741809969590355,1.0451636952735328,1.2817326836708172
2019-03,2019-03-01,2019-04-01,0.005122022822265293,0.0048128958128726305,0.012264826728493789,183,1.3812195833873828,1.0501939592462812,1.297452912948287
2019-04,2019-04-01,2019-05-07,0.0012360722959735338,-0.0035189255714765904,-0.00016236103094532605,180,1.382926870649064,1.0464984048680792,1.2972422571557376
2019-05,2019-05-07,2019-06-03,-0.0729666289870831,-0.07011086902669292,-0.059999642960852924,188,1.282019358762146,0.9731274922677302,1.2194081848926623
2019-06,2019-06-03,2019-07-01,0.0840967974436518,0.07387873991152896,0.0816036141380593,180,1.3898330810948065,1.0450209251697364,1.3189162998894346
2019-07,2019-07-01,2019-08-01,0.018881246400144585,0.006283105660939393,0.022429774005658678,179,1.4160748619540298,1.0515869020604705,1.3484992944283343
2019-08,2019-08-01,2019-09-02,-0.058532135805110456,-0.05530124019355789,-0.05112969840045314,174,1.3331889758239335,0.993432842205225,1.2795509322109897
2019-09,2019-09-02,2019-10-01,0.045695764517048855,0.05871287997885063,0.050987879838231984,187,1.3941100653199094,1.0517601454366687,1.3447925213894614
2019-10,2019-10-01,2019-11-01,0.06251079864998535,0.04510921074355668,0.049672810106285124,189,1.4812569989090403,1.0992042154888453,1.4115921449367925
2019-11,2019-11-01,2019-12-02,0.0696135038784372,0.03896851140271653,0.05230874106748871,189,1.584372488747557,1.1420385674940363,1.4854307529391921
2019-12,2019-12-02,2020-01-06,0.0358560371972067,0.012353985315111182,0.034236754632905896,190,1.6411818076383204,1.1561472951861482,1.536287081151744
2020-01,2020-01-06,2020-02-03,0.05482162984963798,-0.016376882606209647,0.017150853730837873,183,1.7311540692126282,1.137213206657398,1.5626357161691533
2020-02,2020-02-03,2020-03-02,-0.1518624430471124,-0.11921321375624465,-0.1375810990056496,175,1.4682567829710487,1.0016423655657252,1.3476465769931207
2020-03,2020-03-02,2020-04-01,-0.19024588482987123,-0.15308854602582775,-0.1795151235064778,171,1.1889269721372613,0.8483023921833976,1.1057236352811186
2020-04,2020-04-01,2020-05-01,0.1503236500275954,0.11867784848110532,0.14130314686697326,176,1.3676508142051917,0.9489770949490981,1.26196586451153
2020-05,2020-05-01,2020-06-01,0.16288455710732014,0.13500812811099616,0.1615473791447093,177,1.5904200113544702,1.0770967161583869,1.465833142493455
2020-06,2020-06-01,2020-07-01,0.07019818271070728,-0.0019293133638212136,0.03481797117446049,170,1.7020646058982964,1.0750186590697746,1.516870478595361
2020-07,2020-07-01,2020-08-03,-0.029206795737413613,-0.029111321541660132,-0.03751339249760501,155,1.6523527526219435,1.04372344522231,1.4599675209637835
2020-08,2020-08-03,2020-09-01,0.1287210416571162,0.08182691477544286,0.11363798715890121,155,1.8650453201244435,1.1291281146236478,1.6258752913634789
2020-09,2020-09-01,2020-10-01,0.0,0.0,0.0,0,1.8650453201244435,1.1291281146236478,1.6258752913634789
2020-10,2020-10-01,2020-11-02,0.0,0.0,0.0,0,1.8650453201244435,1.1291281146236478,1.6258752913634789
2020-11,2020-11-02,2020-12-01,0.08143247987483794,0.06033011505113687,0.06138571675840729,154,2.016920585621138,1.1972485436863658,1.7256808114836104
2020-12,2020-12-01,2021-01-04,0.018559278942285727,-0.004548655452518458,0.0022638624498372293,145,2.054353177374119,1.191802672570107,1.7295875154731328
2021-01,2021-01-04,2021-02-01,0.02493624329076034,0.0249072413574865,0.028553508360581348,139,2.105581028010266,1.221487189386308,1.7789733070565519
2021-02,2021-02-01,2021-03-01,0.015605307460882891,0.033839357802217813,0.034741098981547563,141,2.138439267336168,1.2628215314387765,1.8407767948025344
2021-03,2021-03-01,2021-04-01,0.05679083064687654,0.03810618392740078,0.03871102410178088,150,2.259883009616087,1.3109428409832646,1.9120351496721344
2021-04,2021-04-01,2021-05-06,0.006186472413500037,-0.01844960657954519,-0.006118333994949815,150,2.2738637135128146,1.286756461318852,1.9003366800163566
2021-05,2021-05-06,2021-06-01,-0.008310262440882954,-0.005342180053412041,0.005484575289323995,146,2.2549673092987224,1.2798823766175953,1.9107592196129703
2021-06,2021-06-01,2021-07-01,0.010095342226487626,0.014115999825371305,0.00599564315480905,162,2.2777319759956347,1.297949196022425,1.9222154500485313
2021-07,2021-07-01,2021-08-02,-0.016018814744548332,-0.00565416305785744,-0.010726870660541624,161,2.2412454094344265,1.2906103796272992,1.9015960935341658
2021-08,2021-08-02,2021-09-01,0.0016369354183236211,0.013111800127603839,0.005852279690157381,174,2.244914183426285,1.3075326049675833,1.9127247657312385
2021-09,2021-09-01,2021-10-01,0.018966247101026866,-0.0006518464814215345,0.010918777806323245,163,2.2874917805497477,1.3066802944396911,1.9336093824529097
2021-10,2021-10-01,2021-11-01,-0.0021768284384250077,0.00990641815451293,0.012113766594463813,161,2.2825123033891836,1.319624815830673,1.9570326751968095
2021-11,2021-11-01,2021-12-01,-0.0056633013129026005,-0.0649013274205612,-0.040296252356089746,164,2.2695857484646833,1.2339794135861486,1.8781715926479654
2021-12,2021-12-01,2022-01-04,0.0008101830403879975,0.018672408344291,-0.004021055718168164,169,2.2714245283467958,1.257020781085078,1.8706193600256473
2022-01,2022-01-04,2022-02-01,-0.06706842770301133,-0.07607970732597408,-0.06043310663611568,171,2.119083656584522,1.161387007957458,1.757572020765635
2022-02,2022-02-01,2022-03-01,0.012415836834896889,0.02291394919372516,0.014160726363420183,173,2.1453938535041726,1.1879989708520475,1.7824605172157006
2022-03,2022-03-01,2022-04-01,0.05294238156968724,0.024180635404470623,0.0478782559017111,170,2.258976113513652,1.2167255408271074,1.86780161799365
2022-04,2022-04-01,2022-05-02,-0.024241760670085506,-0.03162463651863175,-0.02502687691666918,167,2.204214555210414,1.1782470378555143,1.8210563767953676
2022-05,2022-05-02,2022-06-01,0.025856531400820025,0.018939764258160213,0.025665640919737435,170,2.2612078980713566,1.2005627589903733,1.8677949558567954
2022-06,2022-06-01,2022-07-01,0.013130364966578652,-0.01643440938630856,0.010024141650678785,164,2.2908983830383436,1.1808322191151694,1.8865179970687274
2022-07,2022-07-01,2022-08-01,0.04087262283989615,0.05181473230645736,0.03515624158006538,162,2.3845334086127976,1.2420167244474618,1.9528408795188168
2022-08,2022-08-01,2022-09-01,0.0208101495161202,0.002003235711930021,0.013645668587133387,168,2.4341559053722137,1.2445047767046893,1.9794886989641365
2022-09,2022-09-01,2022-10-03,-0.02268730383853922,-0.03635707741135661,-0.03804428146762666,179,2.3789314707566596,1.199258220199234,1.9041804737387589
2022-10,2022-10-03,2022-11-01,0.024545356963719952,0.029621523119423804,0.022770555743110526,178,2.437323192898609,1.2347820752950247,1.94753972136097
2022-11,2022-11-01,2022-12-01,0.037078145641993035,0.03394084808014004,0.0359586890260996,171,2.5276946172215116,1.276691626124693,2.017570696567366
2022-12,2022-12-01,2023-01-04,-0.048050216279955406,-0.05036862421331864,-0.04447443878360432,165,2.406238344174339,1.2123864253721277,1.9278403721312867
2023-01,2023-01-04,2023-02-01,0.06324417075054421,0.051297823178703454,0.05338437161599626,162,2.5584188928798075,1.2745792098451274,2.0307569189734638
2023-02,2023-02-01,2023-03-01,0.044259099791824554,0.026986327917325366,0.043520666604666546,170,2.6716522099690643,1.3089754223586136,2.1191368137992277
2023-03,2023-03-01,2023-04-03,0.027804959580617974,0.016007293232463377,0.03025009124561192,169,2.745937391680723,1.3299285757783954,2.1832408957785896
2023-04,2023-04-03,2023-05-01,0.02040629613296777,0.01005990522901439,0.011052775510726313,174,2.801971803257949,1.3433075312120841,2.2073717672854674
2023-05,2023-05-01,2023-06-01,0.02202783565374346,-9.653303043249717e-06,0.020924934063967476,163,2.8636931776465384,1.343294563857405,2.253560875970579
2023-06,2023-06-01,2023-07-03,0.08652696968198914,0.06968663609398855,0.07089593066876224,177,3.1114798704072792,1.4369042432959689,2.413329171591224
2023-07,2023-07-03,2023-08-01,0.016761834618055044,0.000871637282910726,0.0002258189747136744,172,3.163633981412454,1.4381567026063984,2.4138741471103993
2023-08,2023-08-01,2023-09-01,0.02040039253430795,0.015083815608203828,0.021291839841809594,177,3.2281733564681434,1.4598495931242157,2.4652699688489585
2023-09,2023-09-01,2023-10-02,0.009006381994915377,-0.009798633112566103,0.011632886289154194,187,3.2572475188623033,1.4455450625616626,2.493948174068645
2023-10,2023-10-02,2023-11-01,-0.05766195245750818,-0.035476759982798714,-0.0498729486612691,188,3.069428267287329,1.3942618073328428,2.3695676248194535
2023-11,2023-11-01,2023-12-01,0.039033084129942185,0.034661331640205156,0.028756055459493526,182,3.1892375190751783,1.4425887782300781,2.437707042853782
2023-12,2023-12-01,2024-01-04,0.013831627639101078,0.012390556279559622,0.0044304015309395125,176,3.2333498648916765,1.460463255674999,2.448507063868423
2024-01,2024-01-04,2024-02-01,0.04591232087226485,0.02752482155185953,0.031952051087261416,179,3.3818004613808776,1.5006622461705013,2.526741886660668
2024-02,2024-02-01,2024-03-01,0.08454918110824138,0.033040665933724296,0.049704648483002226,185,3.6677289210621034,1.5502451261255732,2.6523327039444142
2024-03,2024-03-01,2024-04-01,0.020171841393210616,0.017510365871889495,0.023272419002150355,166,3.7417137671310594,1.5773904854751457,2.714058901963715
2024-04,2024-04-01,2024-05-01,-0.024485925565800332,-0.020529841367715566,-0.019948616334118808,161,3.650094442340558,1.545006909033397,2.6599171822202408
2024-05,2024-05-01,2024-06-03,-0.000743251857219395,0.0037223098441494813,0.007625643313970092,158,3.6473815028672623,1.550757903460171,2.6802007618965527
2024-06,2024-06-03,2024-07-01,0.030768200479913847,0.031210926464917552,0.0420036927025595,161,3.759604868174212,1.5991584943499564,2.7927790910804213
2024-07,2024-07-01,2024-08-01,-0.018626590838121987,-0.025385045418589332,-0.017199668288587065,163,3.6895762465817192,1.5585637833393597,2.7447442171105365
2024-08,2024-08-01,2024-09-02,-0.01138928283134598,-0.0022946843229744696,-0.019124254086365436,154,3.647554619181584,1.5549873714593752,2.6922530313004325
2024-09,2024-09-02,2024-10-01,-0.002044280167149832,-0.0029320179791129226,-0.012112224385408717,183,3.6400979956149953,1.5504281205289627,2.6596438584830246
2024-10,2024-10-01,2024-11-01,-0.017200574558642153,-0.028285195028784665,-0.019111791371089003,172,3.5774862186406557,1.5065739587616889,2.608813299938299
2024-11,2024-11-01,2024-12-02,0.023341262788193373,0.019437806551078896,0.018060068886096684,176,3.660989264591087,1.5358584519269918,2.6559286478461503
2024-12,2024-12-02,2025-01-06,0.010799046740509298,0.01580945139153042,0.023391633887425448,180,3.700524458775909,1.5601395314670026,2.7180551584076924
2025-01,2025-01-06,2025-02-03,0.013589948369475646,0.003883192198178612,0.023419603143308633,178,3.7508143951106554,1.566197853123665,2.7817109315392234
2025-02,2025-02-03,2025-03-03,0.04647282407153259,0.02381465191767479,0.03875561656671543,187,3.925125332619605,1.6034963098300146,2.889517853801398
2025-03,2025-03-03,2025-04-01,0.003272005412477785,-0.008250729730987505,0.004870528567828867,181,3.93796836395259,1.5902662951529714,2.903591333055589
2025-04,2025-04-01,2025-05-01,-0.0007659004679693345,0.0022586347870045946,-0.0018133848178697282,183,3.9349522721397903,1.5938581259278048,2.898326004614928
2025-05,2025-05-01,2025-06-02,0.06428774654696151,0.04838947689771906,0.05554278105464348,184,4.187921486485504,1.6709840868906303,3.0593070913142344
2025-06,2025-06-02,2025-07-01,0.027441614064680132,0.027573770871941235,0.03454859848461037,193,4.30284481165082,1.7170594192332125,3.165001863653171
2025-07,2025-07-01,2025-08-01,0.05052025407658324,0.056718669882675286,0.056311806499787925,194,4.520225624787527,1.8144487456016394,3.343228836170676
2025-08,2025-08-01,2025-09-01,0.07422309118752853,0.050152075346706335,0.07305489551615135,193,4.855730743524336,1.9054471158037898,3.5874680694837093
2025-09,2025-09-01,2025-10-01,-0.0243923051173053,-0.018021872816492538,-0.027194566528829813,194,4.73728827766081,1.8711073902242212,3.489908430398082
2025-10,2025-10-01,2025-11-04,-0.0019512894368889852,0.009297111114116583,-0.006577400637303662,194,4.728044457085113,1.8885032835375808,3.46695390446385
2025-11,2025-11-04,2025-12-01,0.050587304870757376,0.01764963259685235,0.021643452451723937,191,4.967223483478172,1.9218346726499682,3.5419907564474324
