date,return,num_stocks
2018-01-05,-0.08006734114011456,6
2018-04-02,-0.038515730239007666,7
2018-10-01,-0.18587336563684279,10
2019-04-01,-0.06287244414495421,10
2019-07-01,0.22686453821275543,6
2019-10-01,-0.08134239095974426,6
2020-01-06,-0.08332002139860568,8
2020-10-02,0.19038928476179412,11
2021-01-05,0.27292313087382175,7
2021-07-01,0.012471315410277729,5
2021-10-01,-0.10619002253269934,10
2022-07-01,0.039741700281876347,5
2022-10-03,0.05310718578299222,15
2023-04-03,0.12839806044025961,10
2023-07-03,-0.027705732232422387,7
2023-10-02,0.0526043266877892,12
2024-04-01,-0.06215097357037703,7
2024-07-01,-0.025913870233153936,8
2024-10-01,-0.079091370438698,7
2025-01-06,0.012209122929872515,8
