戦略,リバランス回数,累積リターン,年率リターン,ボラティリティ,シャープレシオ,最大DD,勝率,平均リターン,中央値リターン
PEG的スコア,7,-0.07102436349470109,-0.014620570664713117,0.2681072484948507,-0.16642806531793602,-0.1061900225326994,0.5714285714285714,-0.001822242942666057,0.012471315410277739
益利回り,20,0.029476336411157655,0.004156624315196478,0.23140321792026328,-0.11168114219443832,-0.2664447075853848,0.45,0.0077832701427409485,-0.026809801232788165
期待リターン,20,0.029476336411157655,0.004156624315196478,0.23140321792026328,-0.11168114219443832,-0.2664447075853848,0.45,0.007783270142740953,-0.02680980123278816
低PER,20,0.029476336411157655,0.004156624315196478,0.23140321792026328,-0.11168114219443832,-0.2664447075853848,0.45,0.0077832701427409485,-0.026809801232788165
PEG × 出来高,3,0.16520320788052612,0.0793893448000873,0.3571783314938231,0.13827643069367276,-0.12428911506911725,0.6666666666666666,0.06679728915482702,0.019317329597650874
