month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,filter_pass,momentum_return,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-08,,,0.0,0.0,0.0,0,False,-0.03677417477251755,1.0,1.0,1.0
2017-09,,,0.0,0.0,0.0,0,False,-0.010580989818231757,1.0,1.0,1.0
2017-10,2017-10-02,2017-11-01,0.04674142535082453,0.05214248484410245,0.07055397444680139,11,True,0.014959911613654751,1.0467414253508245,1.0521424848441026,1.0705539744468013
2017-11,2017-11-01,2017-12-01,0.025157401408037443,0.014222523763596766,0.0162005966239741,55,True,0.026956025047401227,1.0730747195587964,1.0671066063374874,1.0878975875510062
2017-12,2017-12-01,2018-01-04,0.07776162158556915,0.04762334340021368,0.05223082803856222,146,True,0.02864910234341259,1.1565187498341682,1.1179257906957343,1.1447193793699495
2018-01,2018-01-04,2018-02-01,0.09775956030709812,0.04724442391192373,0.09357889564837668,155,True,0.026969929388654078,1.2695795143048714,1.170741550653436,1.2518409547186846
2018-02,2018-02-01,2018-03-01,0.0010367537743929697,-0.0498729384489099,-0.026142773350020146,157,True,0.036245533040576434,1.270895755658219,1.1123532293581158,1.2191143603692012
2018-03,,,0.0,0.0,0.0,0,False,-0.027434274201688202,1.270895755658219,1.1123532293581158,1.2191143603692012
2018-04,,,0.0,0.0,0.0,0,False,-0.02971023510902774,1.270895755658219,1.1123532293581158,1.2191143603692012
2018-05,2018-05-01,2018-06-01,0.02233102235123207,0.0033941565193478145,0.024313457443381634,152,True,0.005786217881797881,1.2992761571839087,1.1161287303233591,1.2487552454886532
2018-06,,,0.0,0.0,0.0,0,False,-0.010968221834887317,1.2992761571839087,1.1161287303233591,1.2487552454886532
2018-07,2018-07-02,2018-08-01,0.012415607120621681,0.018882124703453972,0.009978638696386924,163,True,0.0069446784600106885,1.315407459492695,1.1372036121944327,1.2612161229036025
2018-08,2018-08-01,2018-09-03,0.00933702816247736,-0.01655067174952057,-0.002737003236007941,171,True,0.01172564446221773,1.327689455987111,1.1183821284966335,1.25776417029391
2018-09,,,0.0,0.0,0.0,0,False,-0.01732145448922556,1.327689455987111,1.1183821284966335,1.25776417029391
2018-10,2018-10-01,2018-11-01,-0.09026304129184691,-0.09597827575946993,-0.07849567998060591,191,True,0.04411684749922862,1.2078481677985966,1.0110417401633207,1.159035116491447
2018-11,,,0.0,0.0,0.0,0,False,-0.06745984860059201,1.2078481677985966,1.0110417401633207,1.159035116491447
2018-12,2018-12-03,2019-01-04,-0.1590310356549099,-0.15882241753246568,-0.15513559779651911,167,True,0.020123795357751023,1.0157628227597004,0.8504656467643511,0.9792275108273882
2019-01,,,0.0,0.0,0.0,0,False,-0.06128083787372154,1.0157628227597004,0.8504656467643511,0.9792275108273882
2019-02,2019-02-01,2019-03-01,0.0477246557636996,0.05039982667454197,0.05190521863717541,163,True,0.03990264081855637,1.064239753813471,0.8933289679539267,1.0300545288724208
