year_month,return
2017-06-01,0.04090909090909091
2017-07-01,-0.043668122270742356
2017-08-01,0.10436184366783725
2017-09-01,0.0040693628326604805
2017-10-01,0.023179831034490676
2017-11-01,0.0314139140831255
2017-12-01,0.07419356479924305
2018-01-01,0.1224419635521193
2018-02-01,-0.004754013861688595
2018-03-01,0.006432744235461766
2018-04-01,-0.0200063863351281
2018-05-01,0.03373157909510608
2018-06-01,-0.037653621151977235
2018-07-01,0.015604472923224984
2018-08-01,0.006468606312057417
2018-09-01,0.07172490068139471
2018-10-01,-0.09368526792988897
2018-11-01,0.038141262986951925
2018-12-01,-0.09656845279854231
2019-01-01,0.051689494121028044
2019-02-01,0.01133020484568349
2019-03-01,0.001208388711673414
2019-04-01,0.0037022647727852805
2019-05-01,-0.07312294801608828
2019-06-01,0.08302225274374099
2019-07-01,0.012446469599978246
2019-08-01,-0.043264968501866084
2019-09-01,0.034045446806343554
2019-10-01,0.05552780488484552
2019-11-01,0.06431295011097168
2019-12-01,0.033496428186684434
2020-01-01,0.04411321080684644
2020-02-01,-0.15804111244339622
2020-03-01,-0.09189408595598242
2020-04-01,0.06342815200952341
2020-05-01,0.04461078748647011
2020-06-01,0.021009135082863287
2020-07-01,-0.03266704989590632
2020-08-01,0.07357025610164503
2020-11-01,0.06042994853318163
2020-12-01,0.015256458742237912
2021-01-01,0.012766143721438361
2021-02-01,0.021496552475163615
2021-03-01,0.056701956532778486
2021-04-01,0.004435859550511601
2021-05-01,-0.007600634915451558
2021-06-01,0.008787887627472653
2021-07-01,-0.016243986193468757
2021-08-01,0.004251491777272607
2021-09-01,0.021687800597695966
2021-10-01,0.01987217984362898
2021-11-01,-0.01499355973509666
2021-12-01,0.0029337061718321604
2022-01-01,-0.06557586117091156
2022-02-01,0.009815353391211404
2022-03-01,0.0469414215186457
2022-04-01,-0.01750386444048189
2022-05-01,0.022323160429952058
2022-06-01,0.00495264235696959
2022-07-01,0.03738336107123541
2022-08-01,0.021211375616228764
2022-09-01,-0.030095179628516062
2022-10-01,0.02443554589383346
2022-11-01,0.03755358643911986
2022-12-01,-0.04631771417570999
2023-01-01,0.05721974482034619
2023-02-01,0.044439934485181506
2023-03-01,0.022937937408948283
2023-04-01,0.021493174210734444
2023-05-01,0.016569109479953287
2023-06-01,0.08646530702862198
2023-07-01,0.015730922092417218
2023-08-01,0.017406601838624074
2023-09-01,0.0069132853659990825
2023-10-01,-0.05331771256824022
2023-11-01,0.03187032944257171
2023-12-01,0.012144020376584307
2024-01-01,0.04369267053883897
2024-02-01,0.08035318714972604
2024-03-01,0.020070683862569647
2024-04-01,-0.02509375713339431
2024-05-01,-0.0001307037058678646
2024-06-01,0.032417591885566754
2024-07-01,-0.020362979923773672
2024-08-01,-0.014493927665185613
2024-09-01,-0.002652879584298653
2024-10-01,-0.013932670894792085
2024-11-01,0.025226820773957163
2024-12-01,0.010540464072190819
2025-01-01,0.015574380975833017
2025-02-01,0.04543997874727357
2025-03-01,0.003598505773345386
2025-04-01,-0.0016435554628875981
2025-05-01,0.0657547769859853
2025-06-01,0.026782551457508654
2025-07-01,0.05084870209351937
2025-08-01,0.07493740894197343
2025-09-01,-0.026464462211566855
2025-10-01,0.0008603983619733854
2025-11-01,0.05175820017177163
2025-12-01,0.003402934947141747
