month,entry_date,exit_date,portfolio_return,benchmark_all_return,benchmark_small_return,portfolio_size,filter_pass,cumulative_return_strategy,cumulative_return_all,cumulative_return_small
2017-11,2017-11-01,2017-12-01,0.025157401408037443,0.014222523763596766,0.0162005966239741,55,True,1.0251574014080373,1.0142225237635967,1.016200596623974
2017-12,2017-12-01,2018-01-04,0.07776162158556915,0.04762334340021368,0.05223082803856222,146,True,1.1048753033219747,1.0625231912970219,1.069277595238925
2018-01,2018-01-04,2018-02-01,0.09775956030709812,0.04724442391192373,0.09357889564837668,155,True,1.2128874271689027,1.1127214873629083,1.1693394117429357
2018-02,2018-02-01,2018-03-01,0.0010367537743929697,-0.0498729384489099,-0.026142773350020146,157,True,1.2141448927869338,1.0572267971128784,1.1387696365324942
2018-03,2018-03-01,2018-04-02,0.00788569136365731,-0.011916067903831692,0.01198158364628634,160,True,1.2237192646822124,1.0446288108087307,1.1524139001864595
2018-04,2018-04-02,2018-05-01,-0.02691464973591237,0.005005996421627759,-0.007370519493221414,152,True,1.1907832892982024,1.0498582188975685,1.1439200110708758
2018-05,2018-05-01,2018-06-01,0.02233102235123207,0.0033941565193478145,0.024313457443381634,152,True,1.2173746975469943,1.0534216020156306,1.1717326615786803
2018-06,,,0.0,0.0,0.0,0,False,1.2173746975469943,1.0534216020156306,1.1717326615786803
2018-07,,,0.0,0.0,0.0,0,False,1.2173746975469943,1.0534216020156306,1.1717326615786803
2018-08,2018-08-01,2018-09-03,0.00933702816247736,-0.01655067174952057,-0.002737003236007941,171,True,1.228741359382278,1.035986766866816,1.1685256254922032
2018-09,,,0.0,0.0,0.0,0,False,1.228741359382278,1.035986766866816,1.1685256254922032
2018-10,2018-10-01,2018-11-01,-0.09026304129184691,-0.09597827575946993,-0.07849567998060591,191,True,1.1178314273233554,0.936554543273311,1.0768014119444298
2018-11,,,0.0,0.0,0.0,0,False,1.1178314273233554,0.936554543273311,1.0768014119444298
2018-12,,,0.0,0.0,0.0,0,False,1.1178314273233554,0.936554543273311,1.0768014119444298
2019-01,,,0.0,0.0,0.0,0,False,1.1178314273233554,0.936554543273311,1.0768014119444298
2019-02,,,0.0,0.0,0.0,0,False,1.1178314273233554,0.936554543273311,1.0768014119444298
2019-03,,,0.0,0.0,0.0,0,False,1.1178314273233554,0.936554543273311,1.0768014119444298
2019-04,2019-04-01,2019-05-07,0.0012360722959735338,-0.0035189255714765904,-0.00016236103094532605,180,True,1.1192131477822382,0.933258877541904,1.076626581357063
2019-05,2019-05-07,2019-06-03,-0.0729666289870831,-0.07011086902669292,-0.059999642960852924,188,True,1.0375479372705463,0.8678272866105651,1.0120293708734756
2019-06,2019-06-03,2019-07-01,0.0840967974436518,0.07387873991152896,0.0816036141380593,180,True,1.1248023959892661,0.931941273006195,1.0946146251506177
2019-07,2019-07-01,2019-08-01,0.018881246400144585,0.006283105660939393,0.022429774005658678,179,True,1.1460400671794126,0.9377967584942832,1.119166583816035
2019-08,2019-08-01,2019-09-02,-0.058532135805110456,-0.05530124019355789,-0.05112969840045314,174,True,1.0789598943291694,0.8859354347000509,1.0619439339256556
2019-09,2019-09-02,2019-10-01,0.045695764517048855,0.05871287997885063,0.050987879838231984,187,True,1.128263791583775,0.9379512555466057,1.1160902036235962
2019-10,2019-10-01,2019-11-01,0.06251079864998535,0.04510921074355668,0.049672810106285124,189,True,1.1987924622835373,0.9802614964002412,1.1715295403696762
2019-11,2019-11-01,2019-12-02,0.0696135038784372,0.03896851140271653,0.05230874106748871,189,True,1.2822446060061534,1.018460827700358,1.2328107757497877
