Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
90220,2025-04-01,2881.0,2026-03-13,4220.0,0.4647691773689691
80150,2025-04-01,2519.0,2026-03-13,6304.0,1.5025803890432712
72010,2025-04-01,384.0,2026-03-13,364.6,-0.05052083333333327
94340,2025-04-01,211.7,2026-03-13,213.2,0.007085498346717053
94320,2025-04-01,145.2,2026-03-13,154.7,0.06542699724517907
72670,2025-04-01,1355.5,2026-03-13,1368.0,0.009221689413500553
46890,2025-04-01,513.9,2026-03-13,398.2,-0.22514107803074526
19280,2025-04-01,3400.0,2026-03-13,3543.0,0.04205882352941177
72020,2025-04-01,2037.0,2026-03-13,2494.5,0.22459499263622976
95030,2025-04-01,1808.5,2026-03-13,2584.5,0.4290848769698645
63010,2025-04-01,4376.0,2026-03-13,7093.0,0.6208866544789763
25870,2025-04-01,4975.0,2026-03-13,4590.0,-0.07738693467336684
19110,2025-04-01,4600.0,2026-03-13,1462.5,-0.6820652173913043
19250,2025-04-01,5008.0,2026-03-13,5200.0,0.038338658146964855
72030,2025-04-01,2649.0,2026-03-13,3370.0,0.2721781804454511
94330,2025-04-01,2404.5,2026-03-13,2632.0,0.09461426491994178
72700,2025-04-01,2659.5,2026-03-13,2624.5,-0.01316036849031773
45190,2025-04-01,6816.0,2026-03-13,9362.0,0.37353286384976525
90210,2025-04-01,2957.0,2026-03-13,3271.0,0.1061887047683463
34070,2025-04-01,1062.0,2026-03-13,1616.5,0.5221280602636534
