Code,EntryDate,EntryPrice,ExitDate,ExitPrice,Return
16050,2023-04-03,1470.0,2024-03-29,2340.5,0.5921768707482993
94340,2023-04-03,1530.0,2024-03-29,1951.0,0.2751633986928105
94320,2023-04-03,3949.0,2024-03-29,179.8,-0.954469485945809
45190,2023-04-03,3279.0,2024-03-29,5774.0,0.760902714242147
80150,2023-04-03,5660.0,2024-03-29,10265.0,0.8136042402826855
19110,2023-04-03,2660.0,2024-03-29,4914.0,0.8473684210526315
88300,2023-04-03,3000.0,2024-03-29,5797.0,0.9323333333333333
19280,2023-04-03,2723.5,2024-03-29,3515.0,0.2906186891867083
25870,2023-04-03,4945.0,2024-03-29,5039.0,0.019009100101112234
63010,2023-04-03,3303.0,2024-03-29,4423.0,0.3390856796851347
52010,2023-04-03,4990.0,2024-03-29,5528.0,0.10781563126252505
94330,2023-04-03,4092.0,2024-03-29,4482.0,0.09530791788856305
19250,2023-04-03,3134.0,2024-03-29,4528.0,0.4447989789406509
51080,2023-04-03,5350.0,2024-03-29,6656.0,0.2441121495327103
77510,2023-04-03,2980.0,2024-03-29,4501.0,0.5104026845637584
72670,2023-04-03,3531.0,2024-03-29,1891.0,-0.46445766071934297
63260,2023-04-03,2025.5,2024-03-29,2384.0,0.17699333497901754
72030,2023-04-03,1897.5,2024-03-29,3792.0,0.9984189723320158
72690,2023-04-03,4863.0,2024-03-29,1738.5,-0.6425046267735965
85930,2023-04-03,689.0,2024-03-29,1070.0,0.5529753265602322
