Code,LatestOP,OldestOP,NumPeriods,GrowthCount,IsGrowthA,IsGrowthB,CAGR,IsGrowthC,MarketCap,Price,Date,TheoreticalValue,ValuationGap,MarketCap_to_OP
45070,148739000000.0,156603000000.0,5,2,False,False,-0.01279761714948513,False,908396230000.0,3409.0,2026-03-13,1487390000000.0,0.6373801991670529,6.1073170452941055
92020,180714000000.0,171160000000.0,5,3,False,True,0.013671836232943546,True,1140624695000.0,2936.5,2026-03-13,1807140000000.0,0.5843423414570206,6.311767184612149
85910,366284000000.0,290724000000.0,5,3,False,True,0.059459271056276464,True,2349151480000.0,4778.0,2026-03-13,3662840000000.0,0.5592183097532731,6.413470094243811
80010,526438000000.0,170735000000.0,5,2,False,False,0.32512292636304796,True,3488806600000.0,2071.0,2026-03-13,5264380000000.0,0.5089343158202005,6.627193705621555
95310,138257000000.0,72954000000.0,5,3,False,True,0.1733011735058949,True,921456000000.0,7584.0,2026-03-13,1382570000000.0,0.5004189022590335,6.66480539864166
69020,375879000000.0,401560000000.0,5,3,False,True,-0.01638667315638509,False,2648000625000.0,1937.5,2026-03-13,3758790000000.0,0.41948229336237414,7.044821937378784
98430,104494000000.0,120372000000.0,5,2,False,True,-0.03474631246035931,False,747721590000.0,2733.5,2026-03-13,1044940000000.0,0.39749876688728486,7.155641376538366
63010,419015000000.0,466062000000.0,5,3,False,True,-0.026252246071850838,False,3025022640000.0,7093.0,2026-03-13,4190150000000.0,0.385163186745604,7.219365989284393
60980,495680000000.0,409358000000.0,5,3,False,True,0.04899768191243825,True,3712393740000.0,6514.0,2026-03-13,4956800000000.0,0.3352031996476753,7.4894967317624275
88300,238379000000.0,215802000000.0,5,3,False,True,0.02518709830060728,True,1790981000000.0,4790.0,2026-03-13,2383790000000.0,0.3309968112447871,7.513166008750771
18020,142725000000.0,45497000000.0,5,3,False,True,0.33085065503287847,True,1073654100000.0,3870.0,2026-03-13,1427250000000.0,0.3293387507205533,7.522537046768261
25020,158712000000.0,193480000000.0,5,3,False,True,-0.04831456786945587,False,1194528000000.0,1600.0,2026-03-13,1587120000000.0,0.32865868359720324,7.526387418720701
34070,173949000000.0,164389000000.0,5,3,False,True,0.014231969325197102,True,1313115280000.0,1616.5,2026-03-13,1739490000000.0,0.32470471290228226,7.548852134821126
40050,180416000000.0,145434000000.0,5,3,False,True,0.05536399883064891,True,1365150048000.0,498.9,2026-03-13,1804160000000.0,0.321583662281789,7.566679496275275
97350,110714000000.0,100259000000.0,5,3,False,True,0.025108402446613054,True,838457060000.0,6007.0,2026-03-13,1107140000000.0,0.3204492547298725,7.573180085626028
46610,141414000000.0,134999000000.0,5,3,False,True,0.011673708924420545,True,1126031610000.0,2787.0,2026-03-13,1414140000000.0,0.25586172487644465,7.962660061945776
92010,174323000000.0,142774000000.0,5,3,False,True,0.051178309953660905,True,1400623110000.0,2589.0,2026-03-13,1743230000000.0,0.2446103363238095,8.034643219770198
41880,113322000000.0,60908000000.0,5,2,False,False,0.1679116024882823,True,927291990000.0,924.5,2026-03-13,1133220000000.0,0.22207461319707938,8.182806427701594
54110,97450000000.0,157245000000.0,5,3,False,True,-0.11273929144827644,False,820624640000.0,1919.5,2026-03-13,974500000000.0,0.18751004113159458,8.4209814263725
65010,825715000000.0,654907000000.0,5,3,False,True,0.05965047079179486,True,7017486530000.0,4853.0,2026-03-13,8257150000000.0,0.17665348764125094,8.498678757198308
49010,248451000000.0,223279000000.0,5,3,False,True,0.02706568097691453,True,2119735890000.0,3013.0,2026-03-13,2484510000000.0,0.17208469777808028,8.531806633903667
69880,147860000000.0,152935000000.0,5,3,False,True,-0.008401288858316147,False,1301657550000.0,3265.0,2026-03-13,1478600000000.0,0.13593625297221992,8.803310902204789
43070,118780000000.0,102353000000.0,5,3,False,True,0.03791236555366129,True,1063894650000.0,4305.0,2026-03-13,1187800000000.0,0.11646392807784117,8.95685005893248
65030,294757000000.0,391850000000.0,5,2,False,True,-0.06870757786542403,False,2704430080000.0,5456.0,2026-03-13,2947570000000.0,0.08990430989437893,9.175117401791985
95320,133747000000.0,99507000000.0,5,3,False,True,0.0767319598404057,True,1228198360000.0,6157.0,2026-03-13,1337470000000.0,0.08896904894092189,9.182997450410102
64790,75208000000.0,74594000000.0,5,3,False,True,0.002051484735162701,True,691070850000.0,2776.5,2026-03-13,752080000000.0,0.0882820480707586,9.18879441016913
88010,302623000000.0,220600000000.0,5,3,False,True,0.08224130692072995,True,2831199750000.0,1821.0,2026-03-13,3026230000000.0,0.06888607912599597,9.35553394817975
18010,122356000000.0,79958000000.0,5,3,False,True,0.11222035022864074,True,1148775000000.0,17340.0,2026-03-13,1223560000000.0,0.06509978020064852,9.388791722514629
88020,227374000000.0,194478000000.0,5,3,False,True,0.039842540340266686,True,2183521170000.0,4729.0,2026-03-13,2273740000000.0,0.041318046849987716,9.603213955861268
75320,93994000000.0,89749000000.0,5,3,False,False,0.011620515948137955,True,908080900000.0,1010.0,2026-03-13,939940000000.0,0.03508398866224364,9.661051769261867
