PortfolioSize,CumulativeReturn,CAGR,SharpeRatio,MaxDrawdown,WinRate,NumYears
5,0.6894860186327485,0.14008872454117327,0.6259700785818345,-0.20720556894752623,0.75,4
10,0.5619259570653143,0.117931286677599,0.5739508389438998,-0.17063806274502208,0.75,4
20,0.3856094722048218,0.08495121597281097,0.5152654901991441,-0.14442183512374676,0.75,4
