Factor,AnnualReturn,SharpeRatio
WML,0.3130211048562383,1.8944417171375305
MKT,0.17153982580880894,1.1492475760007366
CMA,0.06069187488662223,1.0854017257162658
HML,0.00760056466002712,0.13449417257995686
SMB,-0.231264896807367,-2.1072674137939784
RMW,-0.15725148491052587,-2.4954775887349383
